Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Bev Botter,Kevin Dodd,David S. Patrick,LaVar Payne,Wally Regehr,Dean Shock,Frans Vandestroet,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
48021,"Medicine Hat/Medicine Hat"," 1","Gem",0,10,2,115,3,1,1,1,133,225
48021,"Medicine Hat/Medicine Hat"," 2","Bassano",5,12,1,119,10,0,1,0,148,510
48021,"Medicine Hat/Medicine Hat"," 2-1","Rosemary",0,5,2,148,3,3,0,0,161,317
48021,"Medicine Hat/Medicine Hat"," 2-2A","Duchess",7,8,6,142,2,4,6,0,175,349
48021,"Medicine Hat/Medicine Hat"," 2-2B","Duchess",3,7,8,130,4,2,2,0,156,355
48021,"Medicine Hat/Medicine Hat"," 3","Bassano",11,14,1,154,14,1,0,2,197,338
48021,"Medicine Hat/Medicine Hat"," 4","Bassano",8,10,1,76,9,0,0,0,104,251
48021,"Medicine Hat/Medicine Hat"," 5","Bassano",7,6,7,114,13,1,1,0,149,314
48021,"Medicine Hat/Medicine Hat"," 6","Rosemary",1,7,2,110,7,3,7,0,137,273
48021,"Medicine Hat/Medicine Hat"," 7A","Duchess",4,9,3,112,15,3,1,0,147,366
48021,"Medicine Hat/Medicine Hat"," 7B","Duchess",5,7,1,155,3,0,1,0,172,377
48021,"Medicine Hat/Medicine Hat"," 8","Cassils",7,11,2,99,6,8,0,0,133,287
48021,"Medicine Hat/Medicine Hat"," 9A","Brooks",3,13,1,155,7,3,1,0,183,410
48021,"Medicine Hat/Medicine Hat"," 9B","Brooks",2,8,1,144,9,4,0,1,169,356
48021,"Medicine Hat/Medicine Hat"," 10A","Brooks",3,4,0,111,9,0,0,2,129,347
48021,"Medicine Hat/Medicine Hat"," 10B","Brooks",6,6,1,100,8,2,2,0,125,362
48021,"Medicine Hat/Medicine Hat"," 11","Brooks",9,4,1,35,11,0,0,0,60,389
48021,"Medicine Hat/Medicine Hat"," 12","Brooks",10,14,5,124,10,3,3,0,169,507
48021,"Medicine Hat/Medicine Hat"," 13","Brooks",5,5,1,92,9,1,1,1,115,378
48021,"Medicine Hat/Medicine Hat"," 14","Brooks",6,5,2,83,4,0,0,0,100,222
48021,"Medicine Hat/Medicine Hat"," 15","Brooks",11,10,1,153,4,3,0,0,182,455
48021,"Medicine Hat/Medicine Hat"," 16","Brooks",5,11,3,168,23,3,0,1,214,556
48021,"Medicine Hat/Medicine Hat"," 17","Brooks",6,9,1,141,16,2,1,0,176,464
48021,"Medicine Hat/Medicine Hat"," 18","Brooks",12,9,3,115,8,5,1,0,153,396
48021,"Medicine Hat/Medicine Hat"," 19","Brooks",13,9,2,82,6,3,0,1,116,479
48021,"Medicine Hat/Medicine Hat"," 20","Brooks",8,16,1,80,13,3,3,0,124,493
48021,"Medicine Hat/Medicine Hat"," 21","Brooks",5,3,0,78,6,1,4,0,97,323
48021,"Medicine Hat/Medicine Hat"," 22","Brooks",4,3,0,33,6,0,0,1,47,265
48021,"Medicine Hat/Medicine Hat"," 23","Brooks",9,2,2,72,10,0,0,0,95,327
48021,"Medicine Hat/Medicine Hat"," 24","Brooks",8,11,3,102,13,3,4,0,144,465
48021,"Medicine Hat/Medicine Hat"," 25","Brooks",4,2,0,48,11,2,0,0,67,362
48021,"Medicine Hat/Medicine Hat"," 26","Brooks",4,7,0,72,9,4,0,0,96,323
48021,"Medicine Hat/Medicine Hat"," 27","Brooks",7,5,1,58,15,0,1,1,88,370
48021,"Medicine Hat/Medicine Hat"," 28A","Brooks",11,13,4,132,17,0,0,0,177,489
48021,"Medicine Hat/Medicine Hat"," 28B","Brooks",4,6,1,148,16,4,2,0,181,502
48021,"Medicine Hat/Medicine Hat"," 29","Brooks",8,9,5,210,15,5,3,0,255,530
48021,"Medicine Hat/Medicine Hat"," 30","Tilley",5,16,1,88,15,0,3,0,128,300
48021,"Medicine Hat/Medicine Hat"," 31","Rainier",2,6,6,158,4,8,3,0,187,391
48021,"Medicine Hat/Medicine Hat"," 32","Tilley",4,5,3,171,9,10,4,0,206,398
48021,"Medicine Hat/Medicine Hat"," 33","Rolling Hills",13,11,5,149,9,2,6,0,195,359
48021,"Medicine Hat/Medicine Hat"," 34","Enchant",6,8,2,124,7,9,13,0,169,434
48021,"Medicine Hat/Medicine Hat"," 35","Vauxhall",9,12,3,133,10,6,1,0,174,341
48021,"Medicine Hat/Medicine Hat"," 36","Vauxhall",10,16,5,116,12,0,2,0,161,320
48021,"Medicine Hat/Medicine Hat"," 37","Vauxhall",4,5,2,64,7,0,1,1,84,251
48021,"Medicine Hat/Medicine Hat"," 38","Retlaw",0,1,0,49,2,3,1,0,56,158
48021,"Medicine Hat/Medicine Hat"," 39","Grantham",2,5,1,69,2,1,1,0,81,187
48021,"Medicine Hat/Medicine Hat"," 40","Hays",6,8,9,134,3,4,6,3,173,282
48021,"Medicine Hat/Medicine Hat"," 41","Barnwell",11,9,4,240,15,9,17,0,305,548
48021,"Medicine Hat/Medicine Hat"," 42","Taber 14",2,4,4,140,2,3,4,0,159,364
48021,"Medicine Hat/Medicine Hat"," 43","Barnwell",13,10,3,201,14,7,6,1,255,585
48021,"Medicine Hat/Medicine Hat"," 44","Taber 14",8,8,5,180,11,10,5,1,228,400
48021,"Medicine Hat/Medicine Hat"," 45","Purple Springs",1,0,1,44,0,3,3,0,52,311
48021,"Medicine Hat/Medicine Hat"," 46","Grassy Lake",7,1,2,104,9,3,3,0,129,371
48021,"Medicine Hat/Medicine Hat"," 47A","Taber",6,5,2,122,13,2,2,0,152,344
48021,"Medicine Hat/Medicine Hat"," 47B","Taber",3,5,2,109,8,1,0,0,128,325
48021,"Medicine Hat/Medicine Hat"," 48","Taber",7,7,2,95,9,3,1,0,124,335
48021,"Medicine Hat/Medicine Hat"," 49","Taber",2,4,3,140,15,4,2,1,171,363
