pollster,date,mode,n,CPC,NDP,LPC,BQ,GPC
Nanos Research,2015-10-18,telephone,800,30.5,19.7,39.1,5.5,4.6
Forum Research,2015-10-18,IVR,1373,30,20,40,6,3
EKOS,2015-10-18,IVR/telephone – rolling (1/3),2122,31.9,20.4,35.8,4.9,5.6
EKOS,2015-10-17,IVR/telephone – rolling (1/2),1621,32.6,21,34.3,5.4,5.4
Ipsos Reid,2015-10-17,online/telephone,2503,31,22,38,4,4
Nanos Research,2015-10-17,telephone – rolling (2/5),2000,30.5,22.1,37.3,4.6,4.7
EKOS,2015-10-16,IVR/telephone – rolling (1/2),1537,33.3,21.9,33.7,4.7,4.1
Nanos Research,2015-10-16,telephone – rolling (1/2),1600,30.7,22.6,37,4.4,4.7
Léger Marketing,2015-10-16,online,2086,30,22,38,6,4
Angus Reid,2015-10-16,online,2022,31,22,35,5,5
Mainstreet Research,2015-10-15,IVR,5546,33,21,38,4,5
EKOS,2015-10-15,IVR/telephone – rolling (1/3),1813,32.8,22.7,34,3.4,5.1
Nanos Research,2015-10-15,telephone – rolling (1/3),1200,30.6,23.5,36.5,4.3,4.7
Forum Research,2015-10-14,IVR,1438,31,24,37,6,2
EKOS,2015-10-14,IVR/telephone – rolling (1/3),1438,32.6,22.9,33.5,3.4,5.6
Nanos Research,2015-10-14,telephone – rolling (1/3),1200,29.4,23.7,37.1,5,4.3
EKOS,2015-10-13,IVR/telephone – rolling (1/3),1179,29.9,24.1,34.1,3.8,6.4
Nanos Research,2015-10-13,telephone – rolling (1/3),1200,29.2,24.5,36.1,5.2,4.3
Ipsos Reid,2015-10-13,online,1349,31,24,37,5,2
EKOS,2015-10-12,IVR/telephone – rolling (2/3),1115,31.1,20.6,35.6,3.2,7.5
Nanos Research,2015-10-11,telephone – rolling (1/3),1200,28.9,24.3,35.7,5.7,4.8
Innovative Research,2015-10-11,telephone,1143,30,22,38,3,6
EKOS,2015-10-10,IVR/telephone – rolling (2/3),1428,35.5,19,33.1,3.3,7.4
Nanos Research,2015-10-10,telephone – rolling (1/3),1200,29,25,35.1,5.2,5.1
Forum Research,2015-10-09,IVR,1427,31,23,37,5,3
Nanos Research,2015-10-09,telephone – rolling (1/3),1200,28.6,24.9,34.8,5.5,5.4
Angus Reid,2015-10-09,online,1083,33,25,31,6,3
EKOS,2015-10-08,IVR/telephone – rolling (1/3),1618,33.7,20.4,33.8,3.5,7.2
Nanos Research,2015-10-08,telephone – rolling (1/3),1200,31,25,34,5.3,4.2
Innovative Research,2015-10-08,online,3417,30,24,35,5,5
Mainstreet Research,2015-10-07,IVR,5630,36,20,35,4,5
Léger Marketing,2015-10-07,online,2087,30,25,34,6,4
EKOS,2015-10-07,IVR/telephone – rolling (1/3),1753,32.5,21.1,34.1,3.6,7.3
Nanos Research,2015-10-07,telephone – rolling (1/3),1200,31.6,24.2,33.5,5.6,4.6
Forum Research,2015-10-06,IVR,1447,31,26,35,4,3
Abacus Data,2015-10-06,online,2000,33,24,32,4,5
EKOS,2015-10-06,IVR/telephone – rolling (1/3),1788,34.1,21.4,32.3,4,6.9
Nanos Research,2015-10-06,telephone – rolling (1/3),1200,32.1,23,34.3,5.1,4.6
EKOS,2015-10-05,IVR/telephone – rolling,1658,35.1,22.2,30.9,4,6.6
Nanos Research,2015-10-05,telephone – rolling (1/3),1200,31.5,23.1,35,4.9,4.6
Ipsos Reid,2015-10-05,online,1441,33,26,32,5,3
Nanos Research,2015-10-04,telephone – rolling (1/3),1200,31,22.8,35.6,4.8,4.7
Nanos Research,2015-10-03,telephone – rolling (1/3),1200,31,24.3,35.3,4.3,4.5
Nanos Research,2015-10-02,telephone – rolling (1/3),1200,30.5,25.1,34.6,4.5,4.8
Mainstreet Research,2015-10-01,IVR,5197,37,24,29,4,7
