pollster,date,LPC,CPC,NDP,BQ,Green
Strategic Counsel[1],2006-01-22,27,37,19,11,6
Nanos Research[2],2006-01-22,30.1,36.4,17.4,10.6,5.6
Ipsos-Reid,2006-01-22,27,38,19,12,4
Nanos Research,2006-01-21,28.1,37,17.7,11.3,6
Strategic Counsel,2006-01-21,27,37,18,11,6
Nanos Research,2006-01-20,29.4,36.2,17.3,11,6.1
EKOS,2006-01-20,26.9,37.1,19.5,11.5,4.6
EKOS,2006-01-20,24.4,38.4,19.8,11.9,5.4
Ipsos-Reid,2006-01-19,26,38,19,11,5
EKOS,2006-01-19,27,37.1,19.7,11.2,4.5
Strategic Counsel,2006-01-19,28,38,17,11,7
Nanos Research,2006-01-19,29,35.5,18.8,11.1,5.6
EKOS,2006-01-19,27.3,37.4,20.8,10.1,3.9
Strategic Counsel,2006-01-18,28,37,16,12,7
Nanos Research,2006-01-18,30.7,37,16.6,10.7,4.9
EKOS,2006-01-18,29.3,35.1,18,12.6,4.4
Leger Marketing,2006-01-17,29,38,17,11,
Strategic Counsel,2006-01-17,25,41,17,12,5
Nanos Research,2006-01-17,31.5,36.9,17.6,10,4
EKOS,2006-01-17,27.2,36.9,19.6,11,4.8
Strategic Counsel,2006-01-16,24,42,17,12,5
Nanos Research,2006-01-16,30,37,18,10,4
EKOS,2006-01-16,29.6,35.8,19.4,11.6,3.4
Decima Research,2006-01-15,27,37,18,11,
Ipsos-Reid,2006-01-15,26,38,19,12,5
Strategic Counsel,2006-01-15,27,40,16,11,6
Nanos Research,2006-01-15,29,37,18,11,5
EKOS,2006-01-15,27.2,38.6,18.6,10.6,4.4
Nanos Research,2006-01-14,30,38,17,10,6
Strategic Counsel,2006-01-14,27,40,16,11,6
Nanos Research,2006-01-13,29,38,16,11,7
Strategic Counsel,2006-01-12,28,38,16,11,6
Ipsos-Reid,2006-01-12,29,37,18,10,5
Nanos Research,2006-01-12,31,40,14,10,6
EKOS,2006-01-12,28.3,37.6,18.1,11.6,3.7
Strategic Counsel,2006-01-11,27,39,16,12,6
Nanos Research,2006-01-11,29,38,16,12,5
EKOS,2006-01-11,28.8,36.3,17.9,13.3,2.8
Strategic Counsel,2006-01-10,28,39,16,12,5
Nanos Research,2006-01-10,30,39,16,12,4
EKOS,2006-01-10,29.9,37.1,17.6,11.6,3.2
Strategic Counsel,2006-01-09,28,38,16,12,6
Nanos Research,2006-01-09,31,35,17,13,5
EKOS,2006-01-09,26.8,39.1,16.2,12.6,5.4
Ipsos-Reid,2006-01-08,26,37,18,13,5
Decima Research,2006-01-08,27,36,20,11,5
Nanos Research,2006-01-08,31,34,17,11,6
Strategic Counsel,2006-01-08,29,37,15,13,6
Nanos Research,2006-01-07,32,34,17,11,6
Nanos Research,2006-01-06,32,35,17,10,6
Ipsos-Reid,2006-01-05,31,35,18,10,5
EKOS,2006-01-05,30.8,36,17.5,10.6,4.7
Strategic Counsel,2006-01-05,31,33,17,13,6
Nanos Research,2006-01-05,33,34,17,11,5
Leger Marketing,2006-01-04,32,34,16,11,5
Strategic Counsel,2006-01-04,32,32,17,13,6
Nanos Research,2006-01-04,33,35,15,12,5
EKOS,2006-01-04,30.4,36.2,17.9,10.4,4.7
Strategic Counsel,2006-01-03,32,32,17,13,6
Nanos Research,2006-01-03,33,36,15,13,4
Strategic Counsel,2005-12-31,33,31,17,14,6
Nanos Research,2005-12-30,35,35,14,13,4
Ipsos-Reid,2005-12-30,32,33,18,12,5
Decima Research,2005-12-30,32,30,18,14,
Nanos Research,2005-12-29,35,34,14,13,5
Nanos Research,2005-12-28,38,32,14,13,4
Nanos Research,2005-12-23,38,31,15,12,5
Ipsos-Reid,2005-12-22,33,32,16,13,5
Strategic Counsel,2005-12-22,36,29,17,13,5
Nanos Research,2005-12-22,39,29,15,12,5
Environics,2005-12-21,35,30,17,12,5
Strategic Counsel,2005-12-21,33,30,18,14,5
Leger Marketing,2005-12-21,36,28,17,12,5
Nanos Research,2005-12-21,37,29,15,12,6
Strategic Counsel,2005-12-20,34,30,16,15,5
