district_code,district_name,party,candidate_last,candidate_first
10001,Avalon,Liberal,Andrews,Scott
10001,Avalon,Green,Crowder,Matt
10001,Avalon,Independent,Dawe,Randy Wayne
10001,Avalon,NDP,Fuchs,Matthew Martin
10001,Avalon,Conservative,Manning,Fabian
10002,Bonavista--Gander--Grand Falls--Windsor,NDP,Bridger,Clyde
10002,Bonavista--Gander--Grand Falls--Windsor,Conservative,Hynes,Aaron
10002,Bonavista--Gander--Grand Falls--Windsor,Green,Kenny,Robyn
10002,Bonavista--Gander--Grand Falls--Windsor,Liberal,Simms,Scott
10003,Humber--St. Barbe--Baie Verte,Independent,Bennett,Wayne R.
10003,Humber--St. Barbe--Baie Verte,Liberal,Byrne,Gerry
10003,Humber--St. Barbe--Baie Verte,Green,Gosse,Robin Blair
10003,Humber--St. Barbe--Baie Verte,NDP,Senior,Shelley
10003,Humber--St. Barbe--Baie Verte,Conservative,Taylor,Trevor
10004,Labrador,Green,Barrett,George C.R.
10004,Labrador,NDP,Larkin,Jacob
10004,Labrador,Conservative,Penashue,Peter
10004,Labrador,Liberal,Russell,Todd
10005,Random--Burin--St. George's,Liberal,Foote,Judy
10005,Random--Burin--St. George's,Green,Gutmanis,Tanya
10005,Random--Burin--St. George's,NDP,Magalios,Stella
10005,Random--Burin--St. George's,Conservative,Ottenheimer,John
10006,St. John's East,Liberal,Allan,John
10006,St. John's East,Conservative,Byrne,Jerry
10006,St. John's East,NDP,Harris,Jack
10006,St. John's East,Green,Miller,Robert
10007,St. John's South--Mount Pearl,Green,Austin,Rick
10007,St. John's South--Mount Pearl,NDP,Cleary,Ryan
10007,St. John's South--Mount Pearl,Liberal,Coady,Siobhan
10007,St. John's South--Mount Pearl,Conservative,Sullivan,Loyola
11001,Cardigan,NDP,Cudmore,Lorne
11001,Cardigan,Conservative,Currie,Mike
11001,Cardigan,Liberal,MacAulay,Lawrence
11001,Cardigan,Green,Stewart,Leslie
11002,Charlottetown,NDP,Byrne,Joe
11002,Charlottetown,Liberal,Casey,Sean
11002,Charlottetown,Christian Heritage,Judson,Baird
11002,Charlottetown,Green,Knockwood,Eliza
11002,Charlottetown,Conservative,Profit,Donna
11003,Egmont,Green,Arnold,Carl Anthony
11003,Egmont,Liberal,Gallant,Guy
11003,Egmont,NDP,Robichaud,Jacquie
11003,Egmont,Conservative,Shea,Gail
11004,Malpeque,Green,Bevan-Baker,Peter
11004,Malpeque,Liberal,Easter,Wayne
11004,Malpeque,NDP,Jackson,Rita
11004,Malpeque,Conservative,Ogilvie,Tim
12001,Cape Breton--Canso,Green,Carabin,Glen
12001,Cape Breton--Canso,Liberal,Cuzner,Rodger
