pollster,date,CPC,LPC,NDP,BQ,Green
Asking Canadians[1],2008-10-13,38,22.6,22.6,9.5,7.1
EKOS Research Associates,2008-10-13,34.8,26.4,19.4,9.8,9.6
Angus Reid Strategies,2008-10-13,37,27,20,9,7
Nanos Research,2008-10-12,34.2,26.7,21.4,9.5,8.2
EKOS Research Associates,2008-10-12,34,26,18,10,11
Harris-Decima,2008-10-12,34,25,19,11,9
Strategic Counsel,2008-10-11,33,28,18,10,11
Nanos Research,2008-10-11,33,27,22,10,9
Harris-Decima,2008-10-11,35,26,18,10,9
EKOS Research Associates,2008-10-11,34,27,18,10,11
Strategic Counsel,2008-10-10,35,28,19,9,9
Harris-Decima,2008-10-10,35,25,18,9,11
Nanos Research,2008-10-10,32,28,22,10,8
Angus Reid Strategies,2008-10-10,38,28,19,9,6
EKOS Research Associates,2008-10-10,34,26,19,10,11
Ipsos Reid,2008-10-09,34,29,18,9,8
Segma,2008-10-09,35,23,21,10,10
Nanos Research,2008-10-09,33,27,22,10,8
Harris-Decima,2008-10-09,34,26,18,9,12
EKOS Research Associates,2008-10-09,36,24,19,10,11
Nanos Research,2008-10-08,33,29,20,10,7
Harris-Decima,2008-10-08,32,27,19,8,12
EKOS Research Associates,2008-10-08,35,24,20,10,11
Nanos Research,2008-10-07,33,29,20,11,7
Angus Reid Strategies,2008-10-07,35,27,18,9,10
Harris-Decima,2008-10-07,31,27,20,8,12
EKOS Research Associates,2008-10-07,34,25,20,10,11
Harris-Decima,2008-10-06,31,26,21,8,13
Nanos Research,2008-10-06,34,31,18,11,6
EKOS Research Associates,2008-10-06,33,26,19,10,12
Harris-Decima,2008-10-05,32,25,21,8,12
Nanos Research,2008-10-05,34,29,20,11,6
EKOS Research Associates,2008-10-05,35,25,19,10,10
Harris-Decima,2008-10-04,34,24,20,8,13
Nanos Research,2008-10-04,34,30,19,10,7
EKOS Research Associates,2008-10-04,36,25,18,10,10
Angus Reid Strategies,2008-10-03,40,25,19,11,6
Harris-Decima,2008-10-03,35,22,20,9,13
Nanos Research,2008-10-03,35,28,19,10,8
EKOS Research Associates,2008-10-03,36,25,19,10,10
Ipsos Reid,2008-10-02,37,23,19,11,10
Harris-Decima,2008-10-02,37,22,18,9,12
Nanos Research,2008-10-02,35,30,18,10,9
EKOS Research Associates,2008-10-02,36,24,19,10,11
Harris-Decima,2008-10-01,36,23,18,9,12
Nanos Research,2008-10-01,37,26,19,10,8
EKOS Research Associates,2008-10-01,34,25,19,10,11
Harris-Decima,2008-09-30,36,24,17,10,11
Nanos Research,2008-09-30,36,26,20,10,9
EKOS Research Associates,2008-09-30,34,25,20,10,11
Strategic Counsel,2008-09-29,39,24,19,10,9
Harris-Decima,2008-09-29,36,26,18,9,11
Nanos Research,2008-09-29,37,26,20,10,8
EKOS Research Associates,2008-09-29,34,27,19,9,10
Harris-Decima,2008-09-28,36,26,19,8,9
Nanos Research,2008-09-28,36,26,20,9,9
EKOS Research Associates,2008-09-28,34,26,20,10,10
Nanos Research,2008-09-27,36,27,19,9,9
Harris-Decima,2008-09-27,36,25,19,9,9
Nanos Research,2008-09-26,39,25,19,8,9
Harris-Decima,2008-09-26,38,23,19,9,9
Angus Reid Strategies,2008-09-25,40,21,21,10,7
Ipsos Reid,2008-09-25,39,23,18,9,11
Nanos Research,2008-09-25,39,24,19,9,8
Harris-Decima,2008-09-25,37,24,18,9,10
EKOS Research Associates,2008-09-25,35,25,20,10,10
Nanos Research,2008-09-24,40,25,19,9,8
EKOS Research Associates,2008-09-24,36,25,19,10,11
Harris-Decima,2008-09-24,36,23,17,9,12
EKOS Research Associates,2008-09-23,37,24,19,9,11
Harris-Decima,2008-09-23,37,24,16,9,12
Nanos Research,2008-09-23,37,26,21,9,7
EKOS Research Associates,2008-09-22,36,25,19,8,12
Nanos Research,2008-09-22,38,27,21,8,6
Harris-Decima,2008-09-22,37,24,17,8,11
EKOS Research Associates,2008-09-21,37,24,19,8,12
Nanos Research,2008-09-21,35,30,22,7,6
Harris-Decima,2008-09-21,38,23,17,8,12
Nanos Research,2008-09-20,36,31,20,7,7
Harris-Decima,2008-09-20,39,23,17,8,11
Nanos Research,2008-09-19,38,29,18,7,7
Harris-Decima,2008-09-19,38,23,17,8,12
Angus Reid Strategies,2008-09-18,38,24,19,9,10
Ipsos Reid,2008-09-18,40,27,15,8,10
EKOS Research Associates,2008-09-18,36,25,18,8,13
Nanos Research,2008-09-18,39,28,18,7,7
Harris-Decima,2008-09-18,38,25,15,8,12
Nanos Research,2008-09-17,39,30,18,7,6
Harris-Decima,2008-09-17,36,27,16,8,11
EKOS Research Associates,2008-09-17,38,24,18,8,12
Nanos Research,2008-09-16,38,31,17,7,7
Harris-Decima,2008-09-16,38,28,15,8,10
EKOS Research Associates,2008-09-16,38,24,19,8,11
Nanos Research,2008-09-15,38,31,17,6,8
Harris-Decima,2008-09-15,38,27,16,8,10
EKOS Research Associates,2008-09-15,38,23,19,9,11
Segma,2008-09-15,42,23,16,7,10
Nanos Research,2008-09-14,37,31,18,6,9
Harris-Decima,2008-09-14,38,27,16,8,9
EKOS Research Associates,2008-09-14,35,25,19,9,11
Ipsos Reid,2008-09-13,38,29,13,8,11
Harris-Decima,2008-09-13,40,26,15,8,9
Nanos Research,2008-09-13,38,30,17,6,9
Angus Reid Strategies,2008-09-12,39,23,18,9,10
Nanos Research,2008-09-12,38,30,15,9,9
EKOS Research Associates,2008-09-11,36,26,19,8,11
Ipsos Reid,2008-09-11,38,29,13,8,11
Nanos Research,2008-09-11,38,31,14,9,9
Harris-Decima,2008-09-11,41,26,14,8,9
Nanos Research,2008-09-10,37,32,13,9,9
EKOS Research Associates,2008-09-09,37,26,19,8,10
Angus Reid Strategies,2008-09-09,38,24,21,9,7
Harris-Decima,2008-09-08,36,28,15,9,9
Segma,2008-09-06,43,25,15,8,7
EKOS Research Associates,2008-09-04,38,26,15,10,11
EKOS Research Associates,2008-09-03,37,24,19,6,10
Environics,2008-09-02,38,28,19,8,7
