district_code,district_name_english,district_name_french,party,candidate_last,candidate_first,candidate_middle
10001,Avalon,Avalon,NDP,Conway,Eugene,
10001,Avalon,Avalon,Green,Hillier,Shannon,
10001,Avalon,Avalon,Conservative,Manning,Fabian,
10001,Avalon,Avalon,Liberal,Morrow,Bill,
10002,Bonavista--Gander--Grand Falls--Windsor,Bonavista--Gander--Grand Falls--Windsor,NDP,Cooze,Sandra,
10002,Bonavista--Gander--Grand Falls--Windsor,Bonavista--Gander--Grand Falls--Windsor,Green,Davis,Judy,
10002,Bonavista--Gander--Grand Falls--Windsor,Bonavista--Gander--Grand Falls--Windsor,Conservative,Hynes,Aaron,
10002,Bonavista--Gander--Grand Falls--Windsor,Bonavista--Gander--Grand Falls--Windsor,Liberal,Simms,Scott,
10003,Humber--St. Barbe--Baie Verte,Humber--St. Barbe--Baie Verte,Liberal,Byrne,Gerry,
10003,Humber--St. Barbe--Baie Verte,Humber--St. Barbe--Baie Verte,Green,Hanzalek,Martin,
10003,Humber--St. Barbe--Baie Verte,Humber--St. Barbe--Baie Verte,Conservative,Pelley,Cyril Jr.,
10003,Humber--St. Barbe--Baie Verte,Humber--St. Barbe--Baie Verte,NDP,Pike,Holly,
10004,Labrador,Labrador,Conservative,Goudie,Joe,
10004,Labrador,Labrador,NDP,Larkin,Jacob Edward,
10004,Labrador,Labrador,Liberal,Russell,Todd,
10004,Labrador,Labrador,Green,Zwicker,Gail,
10005,Random--Burin--St. George's,Random--Burin--St. George's,Green,Brennan,Mark,
10005,Random--Burin--St. George's,Random--Burin--St. George's,Conservative,Downey,Cynthia,
10005,Random--Burin--St. George's,Random--Burin--St. George's,Liberal,Matthews,Bill,
10005,Random--Burin--St. George's,Random--Burin--St. George's,NDP,Will,Amanda,
10006,St. John's East,St. John's-Est,Liberal,Antle,Paul,
10006,St. John's East,St. John's-Est,Conservative,Doyle,Norman,
10006,St. John's East,St. John's-Est,Green,Harris,Stephen Eli,
10006,St. John's East,St. John's-Est,NDP,Kehoe,Mike,
10007,St. John's South--Mount Pearl,St. John's-Sud--Mount Pearl,Liberal,Coady,Siobhan,
10007,St. John's South--Mount Pearl,St. John's-Sud--Mount Pearl,Green,Crozier,Barry,
10007,St. John's South--Mount Pearl,St. John's-Sud--Mount Pearl,Conservative,Hearn,Loyola,
10007,St. John's South--Mount Pearl,St. John's-Sud--Mount Pearl,NDP,Norman,Peg,
11001,Cardigan,Cardigan,Green,Arsenault-Antolick,Haida,
11001,Cardigan,Cardigan,Conservative,Gillis,Don,
11001,Cardigan,Cardigan,Liberal,MacAulay,Lawrence,
11001,Cardigan,Cardigan,NDP,Perry,Edith,
11002,Charlottetown,Charlottetown,Marijuana Party,Chisholm,Andrew J.,
11002,Charlottetown,Charlottetown,Green,Daughton,David Lobie,
11002,Charlottetown,Charlottetown,Conservative,DeBlois,Tom,
11002,Charlottetown,Charlottetown,Christian Heritage,Judson,Baird,
11002,Charlottetown,Charlottetown,Liberal,Murphy,Shawn,
11002,Charlottetown,Charlottetown,NDP,Pollard,Brian,
11003,Egmont,Egmont,Conservative,Guergis,Edward,
11003,Egmont,Egmont,Green,Matsusaki,Ron,
11003,Egmont,Egmont,Liberal,McGuire,Joe,
11003,Egmont,Egmont,Independent,Nesbitt,Michael,
11003,Egmont,Egmont,NDP,Russell,Regena Kaye,
11004,Malpeque,Malpeque,Liberal,Easter,Wayne,
11004,Malpeque,Malpeque,Green,Labchuk,Sharon,
11004,Malpeque,Malpeque,NDP,Marshall,George,
11004,Malpeque,Malpeque,Conservative,Noble,George,
12001,Cape Breton--Canso,Cape Breton--Canso,Liberal,Cuzner,Rodger,
12001,Cape Breton--Canso,Cape Breton--Canso,Green,Hines,Rob,
12001,Cape Breton--Canso,Cape Breton--Canso,Conservative,MacNeil,Kenzie,
12001,Cape Breton--Canso,Cape Breton--Canso,NDP,Morrison,Hector,
12002,Central Nova,Nova-Centre,Marxist-Leninist,Bezanson,Allan H.,
12002,Central Nova,Nova-Centre,NDP,MacDonald,Alexis,
12002,Central Nova,Nova-Centre,Conservative,MacKay,Peter G.,
12002,Central Nova,Nova-Centre,Green,Orton,David,
12002,Central Nova,Nova-Centre,Liberal,Walsh,Dan,
