district_code,district_name_english,district_name_french,party,candidate_last,candidate_first
10001,Avalon,Avalon,Liberal,Andrews,Scott
10001,Avalon,Avalon,Green,Aylward,Dave
10001,Avalon,Avalon,NDP,Dawe,Randy Wayne
10001,Avalon,Avalon,Conservative,Manning,Fabian
10002,Bonavista--Gander--Grand Falls--Windsor,Bonavista--Gander--Grand Falls--Windsor,NDP,Holley,Jason
10002,Bonavista--Gander--Grand Falls--Windsor,Bonavista--Gander--Grand Falls--Windsor,Conservative,House,Andrew
10002,Bonavista--Gander--Grand Falls--Windsor,Bonavista--Gander--Grand Falls--Windsor,Green,O'Connor,Robert Karl
10002,Bonavista--Gander--Grand Falls--Windsor,Bonavista--Gander--Grand Falls--Windsor,Liberal,Simms,Scott
10003,Humber--St. Barbe--Baie Verte,Humber--St. Barbe--Baie Verte,Newfoundland and Labrador First,Bennett,Wayne Ronald
10003,Humber--St. Barbe--Baie Verte,Humber--St. Barbe--Baie Verte,Liberal,Byrne,Gerry
10003,Humber--St. Barbe--Baie Verte,Humber--St. Barbe--Baie Verte,NDP,Kennedy,Mark
10003,Humber--St. Barbe--Baie Verte,Humber--St. Barbe--Baie Verte,Conservative,Robinson,Lorne
10004,Labrador,Labrador,NDP,Artiss,Phyllis
10004,Labrador,Labrador,Conservative,Lewis,Lacey
10004,Labrador,Labrador,Green,McLeod,Nyssa Christine
10004,Labrador,Labrador,Liberal,Russell,Todd
10005,Random--Burin--St. George's,Random--Burin--St. George's,Conservative,Davis,Herb
10005,Random--Burin--St. George's,Random--Burin--St. George's,Liberal,Foote,Judy
10005,Random--Burin--St. George's,Random--Burin--St. George's,Green,Wainwright,Kaitlin
10005,Random--Burin--St. George's,Random--Burin--St. George's,NDP,White,Terry
10006,St. John's East,St. John's-Est,Newfoundland and Labrador First,Coultas,Les
10006,St. John's East,St. John's-Est,NDP,Harris,Jack
10006,St. John's East,St. John's-Est,Liberal,Noel,Walter
10006,St. John's East,St. John's-Est,Green,Story,Howard
10006,St. John's East,St. John's-Est,Progressive Canadian,Tobin,Shannon John
10006,St. John's East,St. John's-Est,Conservative,Westcott,Craig
10007,St. John's South--Mount Pearl,St. John's-Sud--Mount Pearl,Independent,Butler,Terry Christopher
10007,St. John's South--Mount Pearl,St. John's-Sud--Mount Pearl,Newfoundland and Labrador First,Byrne,Greg
10007,St. John's South--Mount Pearl,St. John's-Sud--Mount Pearl,NDP,Cleary,Ryan
10007,St. John's South--Mount Pearl,St. John's-Sud--Mount Pearl,Liberal,Coady,Siobhan
10007,St. John's South--Mount Pearl,St. John's-Sud--Mount Pearl,Green,Warren,Ted
10007,St. John's South--Mount Pearl,St. John's-Sud--Mount Pearl,Conservative,Wiseman,Merv
11001,Cardigan,Cardigan,NDP,Avery,Mike
11001,Cardigan,Cardigan,Green,Daughton,Emma
11001,Cardigan,Cardigan,Liberal,MacAulay,Lawrence
11001,Cardigan,Cardigan,Independent,McGuire,Larry
11001,Cardigan,Cardigan,Conservative,McMullin,Sid
11002,Charlottetown,Charlottetown,Green,Bisaillon,Laura M.
11002,Charlottetown,Charlottetown,Conservative,DeBlois,Tom
11002,Charlottetown,Charlottetown,Christian Heritage,Judson,Baird
11002,Charlottetown,Charlottetown,Liberal,Murphy,Shawn
11002,Charlottetown,Charlottetown,NDP,Pollard,Brian
11003,Egmont,Egmont,NDP,Lewis,Orville
11003,Egmont,Egmont,Liberal,Milligan,Keith
11003,Egmont,Egmont,Green,Ridlington,Rebecca
11003,Egmont,Egmont,Conservative,Shea,Gail
11004,Malpeque,Malpeque,Green,Bevan-Baker,Peter
