"candidate_id","candidate_name","candidate_lastname","party","district","election","contributions","year","name_english","district_code","population"
32739,"Njenga, Peter","Njenga","Liberal","Abbotsford","42nd general election",1500,2015,"Abbotsford",59001,96819
30856,"Martel, Jen","Martel","NDP","Abbotsford","42nd general election",2140,2015,"Abbotsford",59001,96819
30249,"Hébert, Steven","Hébert","Conservative","Abitibi--Baie-James--Nunavik--Eeyou","42nd general election",2765,2015,"Abitibi–Baie-James–Nunavik–Eeyou",24001,85475
29860,"Saganash, Romeo","Saganash","NDP","Abitibi--Baie-James--Nunavik--Eeyou","42nd general election",1130,2015,"Abitibi–Baie-James–Nunavik–Eeyou",24001,85475
29740,"Bégin, Aline","Bégin","Green","Abitibi--TÃ©miscamingue","42nd general election",1600,2015,"Abitibi–Témiscamingue",24002,102794
30638,"Thibault, Claude","Thibault","Liberal","Abitibi--TÃ©miscamingue","42nd general election",5000,2015,"Abitibi–Témiscamingue",24002,102794
29849,"Moore, Christine","Moore","NDP","Abitibi--TÃ©miscamingue","42nd general election",7248,2015,"Abitibi–Témiscamingue",24002,102794
33160,"Girouard-Riordon, Riba","Girouard-Riordon","Conservative","Acadie--Bathurst","42nd general election",4275,2015,"Acadie–Bathurst",13001,79340
30096,"Breau, Dominique","Breau","Green","Acadie--Bathurst","42nd general election",3700,2015,"Acadie–Bathurst",13001,79340
30125,"Cormier, Serge","Cormier","Liberal","Acadie--Bathurst","42nd general election",125,2015,"Acadie–Bathurst",13001,79340
29912,"Godin, Jason","Godin","NDP","Acadie--Bathurst","42nd general election",2499.99,2015,"Acadie–Bathurst",13001,79340
30212,"Bourdon, Nicolas","Bourdon","Bloc","Ahuntsic-Cartierville","42nd general election",100,2015,"Ahuntsic-Cartierville",24003,110473
29745,"Moughrabi, Wiliam","Moughrabi","Conservative","Ahuntsic-Cartierville","42nd general election",3165,2015,"Ahuntsic-Cartierville",24003,110473
29696,"Mercier, Gilles","Mercier","Green","Ahuntsic-Cartierville","42nd general election",1670,2015,"Ahuntsic-Cartierville",24003,110473
30886,"Joly, Mélanie","Joly","Liberal","Ahuntsic-Cartierville","42nd general election",92610,2015,"Ahuntsic-Cartierville",24003,110473
29952,"Mourani, Maria","Mourani","NDP","Ahuntsic-Cartierville","42nd general election",16400,2015,"Ahuntsic-Cartierville",24003,110473
32587,"Hill, Jeff","Hill","Green","Ajax","42nd general election",463,2015,"Ajax",35001,109600
32673,"Holland, Mark","Holland","Liberal","Ajax","42nd general election",5000,2015,"Ajax",35001,109600
30686,"Brown, Stephanie","Brown","NDP","Ajax","42nd general election",1404.75,2015,"Ajax",35001,109600
29694,"St-Hilaire, Daniel","St-Hilaire","Bloc","Alfred-Pellan","42nd general election",8700,2015,"Alfred-Pellan",24004,98045
29706,"Purcarus, Gabriel","Purcarus","Conservative","Alfred-Pellan","42nd general election",1400,2015,"Alfred-Pellan",24004,98045
32487,"Briguene, Lynda","Briguene","Green","Alfred-Pellan","42nd general election",1410,2015,"Alfred-Pellan",24004,98045
29964,"Doré Lefebvre, Rosane","Doré Lefebvre","NDP","Alfred-Pellan","42nd general election",0,2015,"Alfred-Pellan",24004,98045
29951,"Robichaud, André","Robichaud","Conservative","Algoma--Manitoulin--Kapuskasing","42nd general election",17910,2015,"Algoma–Manitoulin–Kapuskasing",35002,79801
33183,"Orok, Calvin John","Orok","Green","Algoma--Manitoulin--Kapuskasing","42nd general election",0,2015,"Algoma–Manitoulin–Kapuskasing",35002,79801
30095,"Hughes, Carol","Hughes","NDP","Algoma--Manitoulin--Kapuskasing","42nd general election",9700,2015,"Algoma–Manitoulin–Kapuskasing",35002,79801
30210,"Hupé-Labelle, Maxime","Hupé-Labelle","Conservative","Argenteuil--La Petite-Nation","42nd general election",3200,2015,"Argenteuil–La Petite-Nation",24005,94208
33123,"Lamarche, Audrey","Lamarche","Green","Argenteuil--La Petite-Nation","42nd general election",840,2015,"Argenteuil–La Petite-Nation",24005,94208
30227,"Lauzon, Stéphane","Lauzon","Liberal","Argenteuil--La Petite-Nation","42nd general election",15461.05,2015,"Argenteuil–La Petite-Nation",24005,94208
30741,"CrÃªte, Chantal","CrÃªte","NDP","Argenteuil--La Petite-Nation","42nd general election",4185,2015,"Argenteuil–La Petite-Nation",24005,94208
30691,"Alleslev, Leona","Alleslev","Liberal","Aurora--Oak Ridges--Richmond Hill","42nd general election",100,2015,"Aurora–Oak Ridges–Richmond Hill",35003,106064
30349,"Power, Brenda","Power","NDP","Aurora--Oak Ridges--Richmond Hill","42nd general election",270,2015,"Aurora–Oak Ridges–Richmond Hill",35003,106064
32824,"Barnett, Lorraine E.","Barnett","Conservative","Avalon","42nd general election",16990,2015,"Avalon",10001,81540
33078,"Byrne-Puumala, Krista","Byrne-Puumala","Green","Avalon","42nd general election",40,2015,"Avalon",10001,81540
30007,"McDonald, Ken","McDonald","Liberal","Avalon","42nd general election",7075,2015,"Avalon",10001,81540
30943,"Baldwin, Jeannie","Baldwin","NDP","Avalon","42nd general election",7828.97,2015,"Avalon",10001,81540
32761,"Savoie, André","Savoie","Conservative","Avignon--La Mitis--Matane--MatapÃ©dia","42nd general election",1000,2015,"Avignon–La Mitis–Matane–Matapédia",24006,74547
29872,"Massé, Rémi","Massé","Liberal","Avignon--La Mitis--Matane--MatapÃ©dia","42nd general election",16199.55,2015,"Avignon–La Mitis–Matane–Matapédia",24006,74547
30529,"Charest, JoÃ«l","Charest","NDP","Avignon--La Mitis--Matane--MatapÃ©dia","42nd general election",3189.26,2015,"Avignon–La Mitis–Matane–Matapédia",24006,74547
33156,"Bastiani, Corina","Bastiani","Green","BÃ©cancour--Nicolet--Saurel","42nd general election",300,2015,"Bécancour–Nicolet–Saurel",24009,93779
30126,"Tabah, Nicolas","Tabah","NDP","BÃ©cancour--Nicolet--Saurel","42nd general election",2355,2015,"Bécancour–Nicolet–Saurel",24009,93779
29695,"Richards, Blake","Richards","Conservative","Banff--Airdrie","42nd general election",9875,2015,"Banff–Airdrie",48001,105442
32544,"MacDonald, Mike","MacDonald","Green","Banff--Airdrie","42nd general election",500,2015,"Banff–Airdrie",48001,105442
32486,"Raynolds, Marlo","Raynolds","Liberal","Banff--Airdrie","42nd general election",335,2015,"Banff–Airdrie",48001,105442
30242,"Boissonneault, Joanne","Boissonneault","NDP","Banff--Airdrie","42nd general election",11758,2015,"Banff–Airdrie",48001,105442
30872,"Brassard, John","Brassard","Conservative","Barrie--Innisfil","42nd general election",23215,2015,"Barrie–Innisfil",35004,101584
