District,Poll Number,Poll Name,Bill Cocks,Kevin Dodd,Monte Kenton Solberg,Betty Stroh,Rejected Ballots,Total Vote,Electors
Medicine Hat/Medicine Hat,1,Gem,12,7,116,5,2,142,195
Medicine Hat/Medicine Hat,2,Newell County No. 4,3,1,36,1,0,41,48
Medicine Hat/Medicine Hat,2-1,Newell County No. 4,3,0,97,1,0,101,105
Medicine Hat/Medicine Hat,2-2,Bassano,23,3,256,6,1,289,394
Medicine Hat/Medicine Hat,3,Bassano,15,3,135,5,0,158,240
Medicine Hat/Medicine Hat,4,Bassano,26,9,166,9,0,210,379
Medicine Hat/Medicine Hat,5,Bassano,27,16,197,12,1,253,699
Medicine Hat/Medicine Hat,6,Rosemary,7,12,216,10,1,246,398
Medicine Hat/Medicine Hat,7,Duchess,12,15,374,14,0,415,877
Medicine Hat/Medicine Hat,8,Cassils,6,4,126,3,0,139,196
Medicine Hat/Medicine Hat,9,Brooks,14,7,253,3,0,277,498
Medicine Hat/Medicine Hat,10,Brooks,13,7,192,4,0,216,532
Medicine Hat/Medicine Hat,11,Brooks,5,1,59,8,0,73,382
Medicine Hat/Medicine Hat,12,Brooks,20,7,201,9,0,237,501
Medicine Hat/Medicine Hat,13,Brooks,15,4,127,7,0,153,428
Medicine Hat/Medicine Hat,14,Brooks,5,3,116,4,0,128,231
Medicine Hat/Medicine Hat,15,Brooks,14,9,153,9,0,185,397
Medicine Hat/Medicine Hat,16,Brooks,17,2,264,17,2,302,551
Medicine Hat/Medicine Hat,17,Brooks,15,9,189,6,0,219,495
Medicine Hat/Medicine Hat,18A,Brooks,14,15,169,5,1,204,413
Medicine Hat/Medicine Hat,18B,Mobile poll/Bureau itinérant,Merged with No. 500,,,,,,47
Medicine Hat/Medicine Hat,19,Brooks,29,15,232,9,0,285,713
Medicine Hat/Medicine Hat,20,Brooks,7,10,127,19,0,163,474
Medicine Hat/Medicine Hat,21,Brooks,10,6,117,6,0,139,351
Medicine Hat/Medicine Hat,22,Brooks,10,3,50,8,1,72,305
Medicine Hat/Medicine Hat,23,Brooks,11,6,81,6,0,104,337
Medicine Hat/Medicine Hat,24,Brooks,12,5,103,6,0,126,399
Medicine Hat/Medicine Hat,25,Brooks,7,7,87,13,0,114,413
Medicine Hat/Medicine Hat,26,Brooks,6,4,135,11,0,156,332
Medicine Hat/Medicine Hat,27,Brooks,9,6,84,5,0,104,335
Medicine Hat/Medicine Hat,28,Brooks,18,12,248,8,0,286,623
Medicine Hat/Medicine Hat,29,Brooks,6,12,195,4,0,217,333
Medicine Hat/Medicine Hat,30,Tilley,11,12,123,21,0,167,370
Medicine Hat/Medicine Hat,31,Rainier,11,11,179,6,1,208,369
Medicine Hat/Medicine Hat,32,Tilley,8,8,140,3,0,159,265
Medicine Hat/Medicine Hat,33,Rolling Hills,15,9,194,7,0,225,366
Medicine Hat/Medicine Hat,34,Travers,6,7,149,5,0,167,365
Medicine Hat/Medicine Hat,35,Vauxhall,6,11,157,7,0,181,285
Medicine Hat/Medicine Hat,36,Vauxhall,15,7,121,5,0,148,279
Medicine Hat/Medicine Hat,37,Vauxhall,18,7,161,6,0,192,504
Medicine Hat/Medicine Hat,38,Retlaw,9,0,70,7,0,86,124
Medicine Hat/Medicine Hat,39,Grantham,5,5,102,2,0,114,177
Medicine Hat/Medicine Hat,40,Hays,14,7,157,5,0,183,260
Medicine Hat/Medicine Hat,41,Barnwell,22,6,200,11,1,240,436
Medicine Hat/Medicine Hat,42,Taber No. 14,8,5,152,6,0,171,251
Medicine Hat/Medicine Hat,43,Barnwell,17,13,242,18,0,290,629
Medicine Hat/Medicine Hat,44,Taber No. 14,15,11,212,5,0,243,370
Medicine Hat/Medicine Hat,45,Purple Springs,5,0,104,4,0,113,249
Medicine Hat/Medicine Hat,46,Grassy Lake,12,9,133,6,0,160,302
Medicine Hat/Medicine Hat,47,Taber,21,9,236,27,0,293,570
Medicine Hat/Medicine Hat,48,Taber,26,10,163,15,0,214,515
