Political Affiliation,N.L. Valid Votes Percent,PEI Valid Votes Percent,NS Valid Votes Percent,NB Valid Votes Percent,QC Valid Votes Percent,Ont Valid Votes Percent,Man Valid Votes Percent,Sask Valid Votes Percent,Alta Valid Votes Percent,BC Valid Votes Percent,Yukon Valid Votes Percent,NWT Valid Votes Percent,Nnvt Valid Votes Percent
"Bloc Québécois/Bloc Québécois",0,0,0,0,48.9,0,0,0,0,0,0,0,0,12.39
"Canadian Action Party/Parti action canadienne",0,0,0,.1,0,0,0,0,.1,.3,0,0,0,.06
"Christian Heritage Party/Parti de l'Héritage Chrétien",0,.1,.1,0,0,.5,.9,.3,.2,.3,.8,0,0,.3
"Communist Party of Canada/Parti communiste du Canada",0,0,0,0,0,0,.2,0,0,.1,0,0,0,.03
"Conservative Party of Canada/Parti conservateur du Canada",32.3,30.7,28,31.1,8.8,31.5,39.1,41.8,61.7,36.3,20.9,17.2,14.4,29.63
"Green Party of Canada/Le Parti Vert du Canada",1.6,4.2,3.3,3.4,3.2,4.4,2.7,2.7,6.1,6.3,4.6,4.3,3.3,4.29
"Liberal Party of Canada/Parti libéral du Canada",48,52.5,39.7,44.6,33.9,44.7,33.2,27.2,22,28.6,45.7,39.4,51.3,36.73
"Libertarian Party of Canada/Parti Libertarien du Canada",0,0,0,0,0,0,0,0,0,.1,0,0,0,.01
"Marijuana Party/Parti Marijuana",0,0,.1,.1,.4,.2,.4,0,.2,.2,2.4,0,0,.25
"Marxist-Leninist Party of Canada/Parti Marxiste-Léniniste du Canada",0,0,0,0,.1,.1,0,0,0,.1,0,0,0,.06
"New Democratic Party/Nouveau Parti Démocratique",17.5,12.5,28.4,20.6,4.6,18.1,23.5,23.4,9.5,26.6,25.7,39.1,15.2,15.68
"Progressive Canadian Party/Parti Progressiste Canadien",0,0,.3,0,0,.2,0,0,0,0,0,0,0,.08
"Independent/Indépendant",.6,0,.1,.2,.1,.3,0,4.6,0,.3,0,0,15.7,.35
"No Affiliation/Aucune appartenance",0,0,0,0,0,0,0,0,0,1,0,0,0,.13
