Electoral District/Circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Larry Bagnell,Pam Boyde,Sue Greetham,Philippe LeBlond,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
"Yukon/Yukon"," 1","Old Crow",57,33,6,0,0,96,203
"Yukon/Yukon"," 2","Northwest Dawson",Merged with No. 3B/Fusionné avec le nº 3B,,,,,,18
"Yukon/Yukon"," 3A","Dawson",77,32,22,4,0,135,278
"Yukon/Yukon"," 3B","Dawson",58,52,31,10,3,154,260
"Yukon/Yukon"," 3C","Dawson",63,35,22,6,1,127,271
"Yukon/Yukon"," 4","Klondike",73,54,34,9,1,171,359
"Yukon/Yukon"," 5","Stewart Crossing",6,5,6,0,0,17,32
"Yukon/Yukon"," 6","Keno Hill",2,3,2,0,0,7,23
"Yukon/Yukon"," 7","Mayo",82,44,15,9,4,154,316
"Yukon/Yukon"," 8","Beaver Creek",10,9,12,1,0,32,70
"Yukon/Yukon"," 9","Pelly Crossing",40,65,15,2,0,122,212
"Yukon/Yukon"," 10","Carmacks",55,39,28,4,1,127,252
"Yukon/Yukon"," 11","Faro",57,37,50,9,1,154,297
"Yukon/Yukon"," 12","Ross River",43,22,23,2,0,90,215
"Yukon/Yukon"," 13","Burwash Landing",13,5,1,1,0,20,59
"Yukon/Yukon"," 14","Destruction Bay",8,4,16,1,1,30,43
"Yukon/Yukon"," 15","Haines Junction",Merged with No. 16B/Fusionné avec le nº 16B,,,,,,79
"Yukon/Yukon"," 16A","Haines Junction",63,39,40,8,2,152,274
"Yukon/Yukon"," 16B","Haines Junction",67,46,41,7,0,161,187
"Yukon/Yukon"," 17","Upper Laberge",35,16,32,7,3,93,175
"Yukon/Yukon"," 18","Champagne",8,5,10,2,1,26,44
"Yukon/Yukon"," 19","Takhini",45,32,20,6,1,104,159
"Yukon/Yukon"," 20","Takhini",92,54,99,13,2,260,447
"Yukon/Yukon"," 21","MacRae",89,60,39,16,2,206,351
"Yukon/Yukon"," 22","Whitehorse",94,40,60,5,1,200,329
"Yukon/Yukon"," 23","Whitehorse",80,44,36,3,0,163,277
"Yukon/Yukon"," 24","Whitehorse",63,26,19,7,2,117,211
"Yukon/Yukon"," 25","Whitehorse",27,21,16,10,0,74,170
"Yukon/Yukon"," 26","Whitehorse",69,35,39,6,4,153,297
"Yukon/Yukon"," 27","Whitehorse",68,27,34,2,2,133,235
"Yukon/Yukon"," 28","Whitehorse",90,35,40,3,1,169,266
"Yukon/Yukon"," 29","Whitehorse",43,23,40,0,0,106,208
"Yukon/Yukon"," 30","Whitehorse",97,29,78,8,2,214,376
"Yukon/Yukon"," 31","Whitehorse",89,34,39,4,0,166,269
"Yukon/Yukon"," 32","Whitehorse",103,21,39,5,1,169,261
"Yukon/Yukon"," 33","Whitehorse",106,19,50,1,0,176,327
"Yukon/Yukon"," 34","Whitehorse",73,31,33,5,0,142,286
"Yukon/Yukon"," 35","Whitehorse",123,30,53,6,1,213,341
"Yukon/Yukon"," 36A","Whitehorse",81,34,27,3,0,145,273
"Yukon/Yukon"," 36B","Whitehorse",80,43,19,4,1,147,273
