Electoral District/Circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Alex Atamanenko,Scott Leyland,Bill Profili,Brian Sproule,Derek Zeisman,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
"British Columbia Southern Interior/Colombie-Britannique-Southern Interior"," 1","Tulameen--Eastgate",60,14,49,0,34,1,158,290
"British Columbia Southern Interior/Colombie-Britannique-Southern Interior"," 2","Allison",96,30,47,1,50,2,226,535
"British Columbia Southern Interior/Colombie-Britannique-Southern Interior"," 3A","Princeton",73,12,45,1,51,4,186,358
"British Columbia Southern Interior/Colombie-Britannique-Southern Interior"," 3B","Princeton",91,19,28,1,43,1,183,371
"British Columbia Southern Interior/Colombie-Britannique-Southern Interior"," 4","Princeton",100,25,42,1,34,1,203,375
"British Columbia Southern Interior/Colombie-Britannique-Southern Interior"," 5","Princeton",91,17,30,2,35,2,177,329
"British Columbia Southern Interior/Colombie-Britannique-Southern Interior"," 6","Princeton",90,23,20,1,36,1,171,363
"British Columbia Southern Interior/Colombie-Britannique-Southern Interior"," 7","Douglas Lake",82,40,62,0,63,3,250,447
"British Columbia Southern Interior/Colombie-Britannique-Southern Interior"," 8","Princeton",89,15,66,0,50,3,223,448
"British Columbia Southern Interior/Colombie-Britannique-Southern Interior"," 9","Princeton",Void/Supprimé,,,,,,,
"British Columbia Southern Interior/Colombie-Britannique-Southern Interior"," 10","Hedley",111,31,51,1,31,0,225,376
"British Columbia Southern Interior/Colombie-Britannique-Southern Interior"," 11","Olalla",58,15,32,0,71,0,176,354
"British Columbia Southern Interior/Colombie-Britannique-Southern Interior"," 12","Olalla",Void/Supprimé,,,,,,,
"British Columbia Southern Interior/Colombie-Britannique-Southern Interior"," 13","Keremeos",114,40,69,1,105,2,331,607
"British Columbia Southern Interior/Colombie-Britannique-Southern Interior"," 14A","Keremeos",101,18,66,6,84,1,276,577
"British Columbia Southern Interior/Colombie-Britannique-Southern Interior"," 14B","Mobile poll/Bureau itinérant",6,0,8,1,8,0,23,20
"British Columbia Southern Interior/Colombie-Britannique-Southern Interior"," 15","Keremeos",78,12,44,0,77,3,214,404
"British Columbia Southern Interior/Colombie-Britannique-Southern Interior"," 16","Keremeos",64,19,46,0,69,1,199,364
"British Columbia Southern Interior/Colombie-Britannique-Southern Interior"," 17","Cawston",113,46,61,2,96,1,319,562
"British Columbia Southern Interior/Colombie-Britannique-Southern Interior"," 18","Olalla",80,40,32,1,65,2,220,351
"British Columbia Southern Interior/Colombie-Britannique-Southern Interior"," 19","Oliver",72,30,41,1,66,0,210,421
"British Columbia Southern Interior/Colombie-Britannique-Southern Interior"," 20","Oliver",36,13,29,0,46,0,124,234
"British Columbia Southern Interior/Colombie-Britannique-Southern Interior"," 21","Oliver",71,29,47,0,69,2,218,570
"British Columbia Southern Interior/Colombie-Britannique-Southern Interior"," 22","Oliver",42,8,26,1,36,3,116,239
"British Columbia Southern Interior/Colombie-Britannique-Southern Interior"," 23A","Oliver",92,23,89,0,87,2,293,531
"British Columbia Southern Interior/Colombie-Britannique-Southern Interior"," 23B","Mobile poll/Bureau itinérant",Merged with No. 502/Fusionné avec le nº 502,,,,,,,40
"British Columbia Southern Interior/Colombie-Britannique-Southern Interior"," 24A","Oliver",62,26,70,0,73,0,231,388
"British Columbia Southern Interior/Colombie-Britannique-Southern Interior"," 24B","Oliver",49,22,69,1,83,0,224,386
"British Columbia Southern Interior/Colombie-Britannique-Southern Interior"," 25","Oliver",38,19,38,1,51,3,150,293
"British Columbia Southern Interior/Colombie-Britannique-Southern Interior"," 26","Oliver",56,14,28,0,51,1,150,301
"British Columbia Southern Interior/Colombie-Britannique-Southern Interior"," 27","Oliver",69,22,64,3,93,0,251,445
"British Columbia Southern Interior/Colombie-Britannique-Southern Interior"," 28","Oliver",59,31,44,1,66,2,203,371
"British Columbia Southern Interior/Colombie-Britannique-Southern Interior"," 29","Oliver",74,20,58,0,63,1,216,380
"British Columbia Southern Interior/Colombie-Britannique-Southern Interior"," 30","Oliver",66,22,41,2,51,0,182,414
