Electoral District/Circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Mike E. Jones,Andrew Mason,Tim Nyborg,Peter Stroh,Brad Trost,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
"Saskatoon--Humboldt/Saskatoon--Humboldt"," 1","St. Louis",7,89,4,38,99,0,237,433
"Saskatoon--Humboldt/Saskatoon--Humboldt"," 2","St-Laurent--Grandin",3,25,2,8,48,0,86,140
"Saskatoon--Humboldt/Saskatoon--Humboldt"," 3","St-Isidore-de-Bellevue",3,36,3,35,73,1,151,219
"Saskatoon--Humboldt/Saskatoon--Humboldt"," 4","Batoche",0,27,3,5,33,0,68,105
"Saskatoon--Humboldt/Saskatoon--Humboldt"," 5","Domremy",5,41,0,21,115,0,182,262
"Saskatoon--Humboldt/Saskatoon--Humboldt"," 6","One Arrow 95",2,43,2,45,10,0,102,156
"Saskatoon--Humboldt/Saskatoon--Humboldt"," 7","Sokal",1,10,0,9,56,0,76,139
"Saskatoon--Humboldt/Saskatoon--Humboldt"," 8","Bonne Madone",3,36,0,21,85,1,146,218
"Saskatoon--Humboldt/Saskatoon--Humboldt"," 9","Wakaw",5,15,1,8,42,0,71,170
"Saskatoon--Humboldt/Saskatoon--Humboldt"," 10","Wakaw",1,21,0,5,47,0,74,136
"Saskatoon--Humboldt/Saskatoon--Humboldt"," 11A","Wakaw",2,29,1,22,67,0,121,267
"Saskatoon--Humboldt/Saskatoon--Humboldt"," 11B","Wakaw",4,33,1,11,56,0,105,231
"Saskatoon--Humboldt/Saskatoon--Humboldt"," 12","Cudworth",4,9,0,12,94,0,119,202
"Saskatoon--Humboldt/Saskatoon--Humboldt"," 13","Cudworth",2,29,0,20,87,0,138,206
"Saskatoon--Humboldt/Saskatoon--Humboldt"," 14A","Cudworth",5,53,2,30,124,0,214,370
"Saskatoon--Humboldt/Saskatoon--Humboldt"," 14B","Mobile poll/Bureau itinérant",Merged with No. 500/Fusionné avec le nº 500,,,,,,,25
"Saskatoon--Humboldt/Saskatoon--Humboldt"," 15","Waitville",2,25,0,5,54,0,86,143
"Saskatoon--Humboldt/Saskatoon--Humboldt"," 16","Crystal Springs",0,22,3,8,66,0,99,156
"Saskatoon--Humboldt/Saskatoon--Humboldt"," 17","Tarnopol",1,18,0,9,57,0,85,155
"Saskatoon--Humboldt/Saskatoon--Humboldt"," 18","St. Brieux",4,16,1,8,65,0,94,164
"Saskatoon--Humboldt/Saskatoon--Humboldt"," 19A","St. Brieux",4,22,0,21,168,0,215,358
"Saskatoon--Humboldt/Saskatoon--Humboldt"," 19B","Mobile poll/Bureau itinérant",Merged with No. 500/Fusionné avec le nº 500,,,,,,,24
"Saskatoon--Humboldt/Saskatoon--Humboldt"," 20","St. Brieux",3,20,1,10,82,1,117,182
"Saskatoon--Humboldt/Saskatoon--Humboldt"," 21","Pleasantdale",8,32,2,11,81,0,134,240
"Saskatoon--Humboldt/Saskatoon--Humboldt"," 22","Kinistino 91",1,27,1,83,13,1,126,139
"Saskatoon--Humboldt/Saskatoon--Humboldt"," 23","Naicam",2,32,1,13,114,0,162,223
"Saskatoon--Humboldt/Saskatoon--Humboldt"," 24","Naicam",3,39,4,19,88,1,154,283
"Saskatoon--Humboldt/Saskatoon--Humboldt"," 25","Naicam",2,32,0,20,57,1,112,228
"Saskatoon--Humboldt/Saskatoon--Humboldt"," 26","Spalding",2,23,1,8,74,0,108,193
"Saskatoon--Humboldt/Saskatoon--Humboldt"," 27","Spalding",2,21,1,6,94,1,125,184
"Saskatoon--Humboldt/Saskatoon--Humboldt"," 28","Smuts",4,44,1,20,50,0,119,218
"Saskatoon--Humboldt/Saskatoon--Humboldt"," 29","Aberdeen",10,43,0,20,124,1,198,337
"Saskatoon--Humboldt/Saskatoon--Humboldt"," 30","Aberdeen",12,60,1,37,115,1,226,416
"Saskatoon--Humboldt/Saskatoon--Humboldt"," 31","Laniwci",6,59,0,24,143,0,232,334
"Saskatoon--Humboldt/Saskatoon--Humboldt"," 32A","Vonda",8,13,1,19,82,0,123,191
"Saskatoon--Humboldt/Saskatoon--Humboldt"," 32B","Vonda",10,20,2,17,61,0,110,186
"Saskatoon--Humboldt/Saskatoon--Humboldt"," 33","Prud'homme",4,36,2,23,97,0,162,217
"Saskatoon--Humboldt/Saskatoon--Humboldt"," 34","Dana",0,9,1,2,43,0,55,113
"Saskatoon--Humboldt/Saskatoon--Humboldt"," 35","Meacham",3,25,2,15,54,0,99,165
"Saskatoon--Humboldt/Saskatoon--Humboldt"," 36","St. Benedict",4,22,1,18,95,1,141,221
"Saskatoon--Humboldt/Saskatoon--Humboldt"," 37","Middle Lake",7,36,0,19,94,0,156,268
"Saskatoon--Humboldt/Saskatoon--Humboldt"," 38","Middle Lake",5,19,1,22,78,0,125,254
"Saskatoon--Humboldt/Saskatoon--Humboldt"," 39","Fulda",11,6,4,14,74,0,109,173
"Saskatoon--Humboldt/Saskatoon--Humboldt"," 40","Lake Lenore",4,25,1,20,163,1,214,314
"Saskatoon--Humboldt/Saskatoon--Humboldt"," 41","Bruno",0,10,0,14,72,0,96,155
"Saskatoon--Humboldt/Saskatoon--Humboldt"," 42","Bruno",7,54,2,25,92,1,181,289
"Saskatoon--Humboldt/Saskatoon--Humboldt"," 43","Bruno",0,43,1,11,61,0,116,174
"Saskatoon--Humboldt/Saskatoon--Humboldt"," 44","Dixon",6,41,3,22,173,0,245,361
"Saskatoon--Humboldt/Saskatoon--Humboldt"," 45","Humboldt",3,27,0,35,101,0,166,255
"Saskatoon--Humboldt/Saskatoon--Humboldt"," 46","Humboldt",2,40,0,30,182,0,254,412
"Saskatoon--Humboldt/Saskatoon--Humboldt"," 47","Humboldt",8,77,2,54,147,0,288,441
"Saskatoon--Humboldt/Saskatoon--Humboldt"," 48","Humboldt",4,36,0,30,117,0,187,307
"Saskatoon--Humboldt/Saskatoon--Humboldt"," 49","Humboldt",5,56,1,55,158,0,275,472
"Saskatoon--Humboldt/Saskatoon--Humboldt"," 50A","Humboldt",1,17,0,25,61,0,104,261
"Saskatoon--Humboldt/Saskatoon--Humboldt"," 50B","Humboldt",3,18,1,8,42,0,72,236
"Saskatoon--Humboldt/Saskatoon--Humboldt"," 50C","Humboldt",6,33,1,33,81,0,154,282
"Saskatoon--Humboldt/Saskatoon--Humboldt"," 51","Humboldt",7,41,0,24,58,0,130,242
"Saskatoon--Humboldt/Saskatoon--Humboldt"," 52","Humboldt",4,50,2,37,79,0,172,292
"Saskatoon--Humboldt/Saskatoon--Humboldt"," 53","Humboldt",8,51,6,39,109,0,213,372
"Saskatoon--Humboldt/Saskatoon--Humboldt"," 54","Humboldt",4,40,1,22,105,0,172,305
"Saskatoon--Humboldt/Saskatoon--Humboldt"," 55","Annaheim",9,37,0,26,159,1,232,322
"Saskatoon--Humboldt/Saskatoon--Humboldt"," 56","Muenster",3,27,2,14,73,2,121,162
"Saskatoon--Humboldt/Saskatoon--Humboldt"," 57","St. Gregor",4,21,3,24,75,0,127,213
