Electoral District/Circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Bev Botter,Kevin Dodd,Wally Regehr,Monte Solberg,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
"Medicine Hat/Medicine Hat"," 1","Gem",5,4,5,119,0,133,308
"Medicine Hat/Medicine Hat"," 2","Newell County No. 4",13,11,12,147,0,183,613
"Medicine Hat/Medicine Hat"," 2-1","Newell County No. 4",0,2,7,203,0,212,292
"Medicine Hat/Medicine Hat"," 2-2","Bassano",11,9,12,371,0,403,705
"Medicine Hat/Medicine Hat"," 3","Bassano",19,13,13,153,0,198,317
"Medicine Hat/Medicine Hat"," 4","Bassano",9,3,9,119,0,140,253
"Medicine Hat/Medicine Hat"," 5","Bassano",14,14,12,138,0,178,286
"Medicine Hat/Medicine Hat"," 6","Rosemary",1,8,9,154,0,172,279
"Medicine Hat/Medicine Hat"," 7","Duchess",11,15,18,352,0,396,717
"Medicine Hat/Medicine Hat"," 8","Cassils",4,10,4,127,0,145,229
"Medicine Hat/Medicine Hat"," 9","Brooks",4,10,10,347,1,372,694
"Medicine Hat/Medicine Hat"," 10","Brooks",11,10,13,271,0,305,692
"Medicine Hat/Medicine Hat"," 11","Brooks",12,1,13,75,0,101,443
"Medicine Hat/Medicine Hat"," 12","Brooks",15,12,11,165,0,203,499
"Medicine Hat/Medicine Hat"," 13","Brooks",19,5,14,128,0,166,427
"Medicine Hat/Medicine Hat"," 14","Brooks",0,2,7,101,0,110,233
"Medicine Hat/Medicine Hat"," 15","Brooks",4,12,8,185,2,211,417
"Medicine Hat/Medicine Hat"," 16","Brooks",17,5,13,241,2,278,542
"Medicine Hat/Medicine Hat"," 17","Brooks",13,8,7,197,1,226,456
"Medicine Hat/Medicine Hat"," 18A","Brooks",9,13,4,155,0,181,402
"Medicine Hat/Medicine Hat"," 18B","Mobile poll/Bureau itinérant",Merged with No. 500/Fusionné avec le nº 500,,,,,,35
"Medicine Hat/Medicine Hat"," 19","Brooks",16,6,8,117,0,147,522
"Medicine Hat/Medicine Hat"," 20","Brooks",15,6,16,132,0,169,497
"Medicine Hat/Medicine Hat"," 21","Brooks",9,3,6,111,0,129,342
"Medicine Hat/Medicine Hat"," 22","Brooks",14,3,11,32,1,61,303
"Medicine Hat/Medicine Hat"," 23","Brooks",8,11,5,94,0,118,355
"Medicine Hat/Medicine Hat"," 24","Brooks",9,7,14,138,0,168,462
"Medicine Hat/Medicine Hat"," 25","Brooks",14,1,20,81,0,116,401
"Medicine Hat/Medicine Hat"," 26","Brooks",4,3,14,105,0,126,326
"Medicine Hat/Medicine Hat"," 27","Brooks",12,8,10,80,0,110,360
"Medicine Hat/Medicine Hat"," 28","Brooks",10,14,25,293,0,342,704
"Medicine Hat/Medicine Hat"," 29","Brooks",8,12,12,242,0,274,491
"Medicine Hat/Medicine Hat"," 30","Tilley",3,10,10,144,0,167,297
"Medicine Hat/Medicine Hat"," 31","Rainier",6,5,6,208,0,225,389
"Medicine Hat/Medicine Hat"," 32","Tilley",4,6,10,187,0,207,390
"Medicine Hat/Medicine Hat"," 33","Rolling Hills",11,10,7,215,0,243,359
"Medicine Hat/Medicine Hat"," 34","Travers",6,6,9,187,0,208,412
"Medicine Hat/Medicine Hat"," 35","Vauxhall",11,9,13,201,0,234,340
"Medicine Hat/Medicine Hat"," 36","Vauxhall",18,6,7,163,0,194,344
"Medicine Hat/Medicine Hat"," 37","Vauxhall",3,8,7,85,0,103,319
"Medicine Hat/Medicine Hat"," 38","Retlaw",6,3,1,68,0,78,145
"Medicine Hat/Medicine Hat"," 39","Grantham",4,4,2,111,0,121,169
"Medicine Hat/Medicine Hat"," 40","Hays",8,6,5,169,0,188,252
"Medicine Hat/Medicine Hat"," 41","Barnwell",10,9,8,267,0,294,494
"Medicine Hat/Medicine Hat"," 42","Taber No. 14",12,8,3,147,0,170,292
"Medicine Hat/Medicine Hat"," 43","Barnwell",10,12,11,230,0,263,545
"Medicine Hat/Medicine Hat"," 44","Taber No. 14",11,8,8,196,1,224,341
"Medicine Hat/Medicine Hat"," 45","Purple Springs",5,4,0,124,0,133,300
"Medicine Hat/Medicine Hat"," 46","Grassy Lake",10,5,6,142,0,163,355
"Medicine Hat/Medicine Hat"," 47","Taber",14,8,18,264,1,305,608
"Medicine Hat/Medicine Hat"," 48","Taber",18,7,12,155,0,192,408
"Medicine Hat/Medicine Hat"," 49","Taber",14,9,12,171,0,206,374
"Medicine Hat/Medicine Hat"," 50","Taber",19,5,13,246,0,283,475
"Medicine Hat/Medicine Hat"," 51","Taber",14,13,13,165,0,205,417
"Medicine Hat/Medicine Hat"," 52","Taber",15,9,7,148,0,179,433
"Medicine Hat/Medicine Hat"," 53","Taber",8,8,17,153,0,186,373
"Medicine Hat/Medicine Hat"," 54","Taber",19,16,15,147,0,197,443
"Medicine Hat/Medicine Hat"," 55A","Taber",21,5,6,146,1,179,279
"Medicine Hat/Medicine Hat"," 55B","Mobile poll/Bureau itinérant",Merged with No. 56B/Fusionné avec le nº 56B,,,,,,66
"Medicine Hat/Medicine Hat"," 56A","Taber",28,3,9,166,0,206,374
"Medicine Hat/Medicine Hat"," 56B","Mobile poll/Bureau itinérant",4,4,5,41,3,57,84
"Medicine Hat/Medicine Hat"," 57","Taber",17,8,10,169,0,204,441
"Medicine Hat/Medicine Hat"," 58","Taber",11,4,5,139,0,159,324
"Medicine Hat/Medicine Hat"," 59","Taber",15,11,24,168,0,218,478
"Medicine Hat/Medicine Hat"," 60","Buffalo",5,5,2,90,0,102,338
"Medicine Hat/Medicine Hat"," 61","Ralston",12,26,13,115,1,167,307
"Medicine Hat/Medicine Hat"," 62","Hilda",11,3,6,73,0,93,181
"Medicine Hat/Medicine Hat"," 63","Bowmanton",3,1,14,122,0,140,196
