Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Philip Bender,Marty Burke,Drew Garvie,Kornelis Klevering,John Lawson,Karen Levenson,Bobbi Stewart,Frank Valeriote,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35027,"Guelph/Guelph"," 1A","Guelph",2,75,0,0,9,0,31,54,2,173,407
35027,"Guelph/Guelph"," 1B","Guelph",1,104,0,0,10,0,55,58,2,230,442
35027,"Guelph/Guelph"," 1-1","Guelph",1,128,0,0,10,0,42,92,3,276,551
35027,"Guelph/Guelph"," 2","Guelph",1,107,0,1,11,0,52,79,3,254,529
35027,"Guelph/Guelph"," 3","Guelph",0,100,1,0,16,0,48,97,2,264,560
35027,"Guelph/Guelph"," 4","Guelph",Void/Supprimé,,,,,,,,,,
35027,"Guelph/Guelph"," 5","Guelph",3,71,0,0,8,0,57,71,0,210,541
35027,"Guelph/Guelph"," 6","Guelph",0,106,0,3,14,2,59,88,0,272,513
35027,"Guelph/Guelph"," 7","Guelph",0,67,1,0,11,0,47,85,0,211,389
35027,"Guelph/Guelph"," 8","Guelph",0,73,0,0,13,0,34,61,0,181,343
35027,"Guelph/Guelph"," 9","Guelph",0,85,0,1,6,2,53,118,2,267,473
35027,"Guelph/Guelph"," 10","Guelph",Void/Supprimé,,,,,,,,,,
35027,"Guelph/Guelph"," 11","Guelph",1,87,0,2,13,0,41,89,1,234,395
35027,"Guelph/Guelph"," 12","Guelph",4,102,0,1,14,2,38,90,0,251,413
35027,"Guelph/Guelph"," 13","Guelph",0,96,2,0,17,0,30,122,0,267,491
35027,"Guelph/Guelph"," 14","Guelph",0,84,1,0,22,2,56,102,0,267,436
35027,"Guelph/Guelph"," 15","Guelph",3,95,0,0,17,0,22,78,1,216,353
35027,"Guelph/Guelph"," 16","Guelph",0,108,0,0,5,0,42,162,1,318,471
35027,"Guelph/Guelph"," 17","Guelph",1,99,0,1,6,0,23,81,0,211,329
35027,"Guelph/Guelph"," 18","Guelph",0,45,0,0,4,1,25,46,0,121,357
35027,"Guelph/Guelph"," 19","Guelph",1,117,0,1,18,0,87,121,4,349,588
35027,"Guelph/Guelph"," 20","Guelph",0,100,2,0,13,0,42,93,0,250,372
35027,"Guelph/Guelph"," 21","Guelph",0,67,0,1,5,0,56,52,2,183,379
