Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Norm Boucher,Graham Murray,LaVar Payne,Dennis Perrier,Frans VandeStroet,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
48021,"Medicine Hat/Medicine Hat"," 1","Gem",1,3,134,9,2,0,149,228
48021,"Medicine Hat/Medicine Hat"," 2","Bassano",4,4,137,8,1,0,154,407
48021,"Medicine Hat/Medicine Hat"," 2-1","Rosemary",2,5,186,4,1,2,200,325
48021,"Medicine Hat/Medicine Hat"," 2-2A","Duchess",4,6,154,7,0,0,171,327
48021,"Medicine Hat/Medicine Hat"," 2-2B","Duchess",3,10,176,9,1,0,199,372
48021,"Medicine Hat/Medicine Hat"," 3","Bassano",8,3,174,13,0,1,199,347
48021,"Medicine Hat/Medicine Hat"," 4","Bassano",2,5,101,16,0,0,124,273
48021,"Medicine Hat/Medicine Hat"," 5","Bassano",5,14,127,13,0,2,161,308
48021,"Medicine Hat/Medicine Hat"," 6","Rosemary",2,2,142,13,2,0,161,267
48021,"Medicine Hat/Medicine Hat"," 7A","Duchess",6,9,151,9,1,1,177,352
48021,"Medicine Hat/Medicine Hat"," 7B","Duchess",3,2,172,15,0,1,193,351
48021,"Medicine Hat/Medicine Hat"," 8","Cassils",5,3,121,11,1,0,141,283
48021,"Medicine Hat/Medicine Hat"," 9A","Brooks",9,5,151,7,1,0,173,388
48021,"Medicine Hat/Medicine Hat"," 9B","Brooks",1,3,153,10,2,0,169,374
48021,"Medicine Hat/Medicine Hat"," 10A","Brooks",9,4,88,11,0,1,113,340
48021,"Medicine Hat/Medicine Hat"," 10B","Brooks",4,2,19,1,0,0,26,61
48021,"Medicine Hat/Medicine Hat"," 10C","Brooks",11,3,115,10,0,0,139,340
48021,"Medicine Hat/Medicine Hat"," 11","Brooks",8,6,39,12,0,0,65,332
48021,"Medicine Hat/Medicine Hat"," 12","Brooks",15,3,123,12,2,0,155,467
48021,"Medicine Hat/Medicine Hat"," 13","Brooks",7,6,73,14,2,0,102,365
48021,"Medicine Hat/Medicine Hat"," 14","Brooks",2,3,115,4,0,0,124,234
48021,"Medicine Hat/Medicine Hat"," 15","Brooks",17,2,190,8,1,0,218,469
48021,"Medicine Hat/Medicine Hat"," 16","Brooks",11,12,230,16,1,1,271,550
48021,"Medicine Hat/Medicine Hat"," 17","Brooks",8,8,148,11,0,1,176,480
48021,"Medicine Hat/Medicine Hat"," 18","Brooks",8,10,109,16,0,1,144,368
48021,"Medicine Hat/Medicine Hat"," 19","Brooks",6,6,79,15,3,0,109,410
48021,"Medicine Hat/Medicine Hat"," 20","Brooks",7,5,99,19,3,0,133,467
48021,"Medicine Hat/Medicine Hat"," 21","Brooks",4,6,86,8,0,0,104,311
48021,"Medicine Hat/Medicine Hat"," 22","Brooks",11,5,39,13,1,2,71,272
48021,"Medicine Hat/Medicine Hat"," 23","Brooks",13,4,71,10,1,0,99,321
48021,"Medicine Hat/Medicine Hat"," 24","Brooks",8,8,109,18,1,0,144,474
48021,"Medicine Hat/Medicine Hat"," 25","Brooks",2,5,55,10,0,0,72,334
48021,"Medicine Hat/Medicine Hat"," 26","Brooks",3,0,78,9,0,0,90,302
48021,"Medicine Hat/Medicine Hat"," 27","Brooks",4,3,56,15,0,0,78,315
48021,"Medicine Hat/Medicine Hat"," 28A","Brooks",9,10,161,26,2,1,209,573
48021,"Medicine Hat/Medicine Hat"," 28B","Brooks",13,6,176,22,0,1,218,540
48021,"Medicine Hat/Medicine Hat"," 29","Brooks",11,10,235,21,4,0,281,533
48021,"Medicine Hat/Medicine Hat"," 30","Tilley",3,5,129,12,2,0,151,290
48021,"Medicine Hat/Medicine Hat"," 31","Rainier",3,4,195,7,2,0,211,381
48021,"Medicine Hat/Medicine Hat"," 32","Tilley",5,4,194,15,5,2,225,409
48021,"Medicine Hat/Medicine Hat"," 33","Rolling Hills",15,10,171,14,1,0,211,357
48021,"Medicine Hat/Medicine Hat"," 34","Enchant",6,6,174,4,8,0,198,422
48021,"Medicine Hat/Medicine Hat"," 35","Vauxhall",12,7,165,15,1,0,200,355
48021,"Medicine Hat/Medicine Hat"," 36","Vauxhall",9,9,141,10,0,1,170,318
48021,"Medicine Hat/Medicine Hat"," 37","Vauxhall",1,6,46,4,1,0,58,189
48021,"Medicine Hat/Medicine Hat"," 38","Retlaw",2,1,49,7,0,0,59,225
48021,"Medicine Hat/Medicine Hat"," 39","Grantham",5,5,86,1,1,0,98,185
48021,"Medicine Hat/Medicine Hat"," 40","Hays",11,11,152,9,8,0,191,308
48021,"Medicine Hat/Medicine Hat"," 41","Barnwell",6,9,249,21,13,1,299,566
48021,"Medicine Hat/Medicine Hat"," 42","Taber 14",4,3,157,7,0,0,171,377
48021,"Medicine Hat/Medicine Hat"," 43","Barnwell",7,10,231,20,11,0,279,604
48021,"Medicine Hat/Medicine Hat"," 44","Taber 14",4,6,201,13,9,1,234,422
48021,"Medicine Hat/Medicine Hat"," 45","Purple Springs",0,0,69,4,0,0,73,296
48021,"Medicine Hat/Medicine Hat"," 46","Grassy Lake",7,7,123,4,6,0,147,377
48021,"Medicine Hat/Medicine Hat"," 47A","Taber",4,7,117,10,5,0,143,308
