Province,Parti libéral du Canada Hommes,Parti libéral du Canada Femmes,Parti conservateur du Canada Hommes,Parti conservateur du Canada Femmes,Nouveau Parti démocratique Hommes,Nouveau Parti démocratique Femmes,Bloc Québécois Hommes,Bloc Québécois Femmes,Le Parti Vert du Canada  Hommes,Le Parti Vert du Canada Femmes,Autres Hommes,Autres Femmes,Total Hommes,Total Femmes
"Newfoundland and Labrador/Terre-Neuve-et-Labrador",4,3,0,0,0,0,0,0,0,0,0,0,4,3
"Prince Edward Island/Île-du-Prince-Édouard",4,0,0,0,0,0,0,0,0,0,0,0,4,0
"Nova Scotia/Nouvelle-Écosse",10,1,0,0,0,0,0,0,0,0,0,0,10,1
"New Brunswick/Nouveau-Brunswick",7,3,0,0,0,0,0,0,0,0,0,0,7,3
"Quebec/Québec",31,9,11,1,9,7,8,2,0,0,0,0,59,19
"Ontario",52,28,27,6,4,4,0,0,0,0,0,0,83,38
"Manitoba",6,1,4,1,1,1,0,0,0,0,0,0,11,3
"Saskatchewan",1,0,8,2,1,2,0,0,0,0,0,0,10,4
"Alberta",4,0,25,4,0,1,0,0,0,0,0,0,29,5
"British Columbia/Colombie-Britannique",12,5,7,3,11,3,0,0,0,1,0,0,30,12
"Yukon",1,0,0,0,0,0,0,0,0,0,0,0,1,0
"Northwest Territories/Territoires du Nord-Ouest",1,0,0,0,0,0,0,0,0,0,0,0,1,0
"Nunavut",1,0,0,0,0,0,0,0,0,0,0,0,1,0
