Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Glen Allan,Jim Hillyer,Brent Smith,John Clayton Turner,Erin Weir,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
48027,"Medicine Hat--Cardston--Warner/Medicine Hat--Cardston--Warner"," 1","Ralston",30,134,7,2,18,2,193,352
48027,"Medicine Hat--Cardston--Warner/Medicine Hat--Cardston--Warner"," 2","Hilda",10,57,2,0,1,0,70,175
48027,"Medicine Hat--Cardston--Warner/Medicine Hat--Cardston--Warner"," 3","Schuler",11,114,0,0,0,0,125,174
48027,"Medicine Hat--Cardston--Warner/Medicine Hat--Cardston--Warner"," 4","Bowmanton",16,143,4,5,11,1,180,308
48027,"Medicine Hat--Cardston--Warner/Medicine Hat--Cardston--Warner"," 5","Dunmore",28,212,1,3,15,0,259,450
48027,"Medicine Hat--Cardston--Warner/Medicine Hat--Cardston--Warner"," 6","Dunmore",22,188,5,0,6,0,221,414
48027,"Medicine Hat--Cardston--Warner/Medicine Hat--Cardston--Warner"," 7","Dunmore",14,202,2,1,14,0,233,387
48027,"Medicine Hat--Cardston--Warner/Medicine Hat--Cardston--Warner"," 8","Bowell",17,128,0,0,2,1,148,262
48027,"Medicine Hat--Cardston--Warner/Medicine Hat--Cardston--Warner"," 9","Redcliff",33,119,10,1,14,1,178,401
48027,"Medicine Hat--Cardston--Warner/Medicine Hat--Cardston--Warner"," 10","Redcliff",40,148,5,4,15,0,212,429
48027,"Medicine Hat--Cardston--Warner/Medicine Hat--Cardston--Warner"," 11","Redcliff",48,139,6,4,25,0,222,387
48027,"Medicine Hat--Cardston--Warner/Medicine Hat--Cardston--Warner"," 12","Redcliff",42,120,9,5,28,1,205,399
48027,"Medicine Hat--Cardston--Warner/Medicine Hat--Cardston--Warner"," 13","Medicine Hat",54,155,7,2,26,1,245,428
48027,"Medicine Hat--Cardston--Warner/Medicine Hat--Cardston--Warner"," 14","Medicine Hat",49,160,9,4,19,3,244,440
48027,"Medicine Hat--Cardston--Warner/Medicine Hat--Cardston--Warner"," 15","Medicine Hat",60,176,5,4,30,0,275,468
48027,"Medicine Hat--Cardston--Warner/Medicine Hat--Cardston--Warner"," 16","Medicine Hat",61,158,10,5,31,1,266,455
48027,"Medicine Hat--Cardston--Warner/Medicine Hat--Cardston--Warner"," 17","Redcliff",50,145,11,0,16,1,223,441
48027,"Medicine Hat--Cardston--Warner/Medicine Hat--Cardston--Warner"," 18","Redcliff",52,208,4,3,18,0,285,494
48027,"Medicine Hat--Cardston--Warner/Medicine Hat--Cardston--Warner"," 19","Redcliff",39,187,4,0,21,1,252,452
48027,"Medicine Hat--Cardston--Warner/Medicine Hat--Cardston--Warner"," 20","Redcliff",39,182,7,2,6,1,237,466
48027,"Medicine Hat--Cardston--Warner/Medicine Hat--Cardston--Warner"," 21","Redcliff",23,210,3,5,17,0,258,465
48027,"Medicine Hat--Cardston--Warner/Medicine Hat--Cardston--Warner"," 22","Medicine Hat",44,111,5,2,15,0,177,385
48027,"Medicine Hat--Cardston--Warner/Medicine Hat--Cardston--Warner"," 23","Medicine Hat",68,113,9,2,31,0,223,428
48027,"Medicine Hat--Cardston--Warner/Medicine Hat--Cardston--Warner"," 24","Medicine Hat",63,128,9,2,37,2,241,442
48027,"Medicine Hat--Cardston--Warner/Medicine Hat--Cardston--Warner"," 25","Medicine Hat",57,128,3,3,35,0,226,447
48027,"Medicine Hat--Cardston--Warner/Medicine Hat--Cardston--Warner"," 26","Medicine Hat",58,170,7,0,20,0,255,420
48027,"Medicine Hat--Cardston--Warner/Medicine Hat--Cardston--Warner"," 27","Medicine Hat",55,162,6,0,16,0,239,459
48027,"Medicine Hat--Cardston--Warner/Medicine Hat--Cardston--Warner"," 28","Medicine Hat",73,227,7,2,14,1,324,551
48027,"Medicine Hat--Cardston--Warner/Medicine Hat--Cardston--Warner"," 29","Medicine Hat",66,196,3,0,13,1,279,466
48027,"Medicine Hat--Cardston--Warner/Medicine Hat--Cardston--Warner"," 30","Medicine Hat",53,147,9,5,26,1,241,439
48027,"Medicine Hat--Cardston--Warner/Medicine Hat--Cardston--Warner"," 31","Medicine Hat",56,185,9,4,21,0,275,446
48027,"Medicine Hat--Cardston--Warner/Medicine Hat--Cardston--Warner"," 32","Medicine Hat",63,164,6,0,19,0,252,435
48027,"Medicine Hat--Cardston--Warner/Medicine Hat--Cardston--Warner"," 33","Medicine Hat",52,189,4,2,22,1,270,452
48027,"Medicine Hat--Cardston--Warner/Medicine Hat--Cardston--Warner"," 34","Medicine Hat",65,147,13,1,17,2,245,520
48027,"Medicine Hat--Cardston--Warner/Medicine Hat--Cardston--Warner"," 35","Medicine Hat",58,126,7,3,17,0,211,457
48027,"Medicine Hat--Cardston--Warner/Medicine Hat--Cardston--Warner"," 36","Medicine Hat",45,159,11,0,17,1,233,418
48027,"Medicine Hat--Cardston--Warner/Medicine Hat--Cardston--Warner"," 37","Medicine Hat",58,155,7,0,23,2,245,455
48027,"Medicine Hat--Cardston--Warner/Medicine Hat--Cardston--Warner"," 38","Medicine Hat",41,149,6,3,25,2,226,408
48027,"Medicine Hat--Cardston--Warner/Medicine Hat--Cardston--Warner"," 39","Medicine Hat",52,153,2,2,25,0,234,405
48027,"Medicine Hat--Cardston--Warner/Medicine Hat--Cardston--Warner"," 40","Medicine Hat",38,158,7,3,31,0,237,422
48027,"Medicine Hat--Cardston--Warner/Medicine Hat--Cardston--Warner"," 41","Medicine Hat",48,128,8,1,17,0,202,377
48027,"Medicine Hat--Cardston--Warner/Medicine Hat--Cardston--Warner"," 42","Medicine Hat",62,104,9,4,16,0,195,366
48027,"Medicine Hat--Cardston--Warner/Medicine Hat--Cardston--Warner"," 43","Medicine Hat",53,127,9,3,30,0,222,369
48027,"Medicine Hat--Cardston--Warner/Medicine Hat--Cardston--Warner"," 44","Medicine Hat",35,139,5,2,19,1,201,377
48027,"Medicine Hat--Cardston--Warner/Medicine Hat--Cardston--Warner"," 45","Medicine Hat",48,113,9,4,30,3,207,338
48027,"Medicine Hat--Cardston--Warner/Medicine Hat--Cardston--Warner"," 46","Medicine Hat",50,129,12,7,34,4,236,486
48027,"Medicine Hat--Cardston--Warner/Medicine Hat--Cardston--Warner"," 47","Medicine Hat",45,142,15,6,32,0,240,422
48027,"Medicine Hat--Cardston--Warner/Medicine Hat--Cardston--Warner"," 48","Medicine Hat",72,84,11,3,33,0,203,422
48027,"Medicine Hat--Cardston--Warner/Medicine Hat--Cardston--Warner"," 49","Medicine Hat",74,101,7,6,37,1,226,459
48027,"Medicine Hat--Cardston--Warner/Medicine Hat--Cardston--Warner"," 50","Medicine Hat",65,109,14,1,42,0,231,432
