RO Name/Nom du DS,Occupation/Profession,Electoral District Name/Nom de circonscription,Electoral District Number/Numéro de circonscription,Province,Residence/Résidence
"Dennis Brown","Retired/Retraité","Avalon","10001","Newfoundland and Labrador/Terre-Neuve-et-Labrador","Bay Roberts"
"Irene Joy Hodder","Accounting Clerk/Commis comptable","Bonavista--Burin--Trinity","10002","Newfoundland and Labrador/Terre-Neuve-et-Labrador","Marystown"
"Winnie Roebothan","Retired/Retraitée","Coast of Bays--Central--Notre Dame","10003","Newfoundland and Labrador/Terre-Neuve-et-Labrador","Gander"
"Andrea Northcott","Network Administrator/Bookkeeper/Administratrice de réseau/comptable","Labrador","10004","Newfoundland and Labrador/Terre-Neuve-et-Labrador","Labrador City"
"Betty G. Waterman","Retired/Retraitée","Long Range Mountains","10005","Newfoundland and Labrador/Terre-Neuve-et-Labrador","Corner Brook"
"David Stone","Retired/Retraité","St. John's East/St. John's-Est","10006","Newfoundland and Labrador/Terre-Neuve-et-Labrador","St. John's"
"James William Ryan","Retired Federal Civil Servant/Fonctionnaire fédéral retraité","St. John's South--Mount Pearl/St. John's-Sud--Mount Pearl","10007","Newfoundland and Labrador/Terre-Neuve-et-Labrador","Mount Pearl"
"Mary Elizabeth Dyck","Retired/Retraitée","Cardigan","11001","Prince Edward Island/Île-du-Prince-Édouard","Montague"
"Kay Atkinson","Retired/Retraitée","Charlottetown","11002","Prince Edward Island/Île-du-Prince-Édouard","Charlottetown"
"Karen Gallant","Staffing Officer/Agente de dotation","Egmont","11003","Prince Edward Island/Île-du-Prince-Édouard","Abrams Village"
"Ernie Stavert","Retired/Retraité","Malpeque","11004","Prince Edward Island/Île-du-Prince-Édouard","Cornwall"
"Norman Carmichael","Retired/Retraité","Cape Breton--Canso","12001","Nova Scotia/Nouvelle-Écosse","Glace Bay"
"Lottie Jean Stewart","Retired/Retraitée","Central Nova/Nova-Centre","12002","Nova Scotia/Nouvelle-Écosse","Westville"
"Darlene Delma MacKay","Office Manager/Gestionnaire de bureau","Cumberland--Colchester","12003","Nova Scotia/Nouvelle-Écosse","Truro"
"Pat Charles McCluskey","Self-employed/Travailleur autonome","Dartmouth--Cole Harbour","12004","Nova Scotia/Nouvelle-Écosse","Dartmouth"
"John Howard Mac Manus","Consultant","Halifax","12005","Nova Scotia/Nouvelle-Écosse","Halifax"
"John S. Loch","Semi-Retired/Semi-retraité","Halifax West/Halifax-Ouest","12006","Nova Scotia/Nouvelle-Écosse","Bedford"
