date,Party,pct
2016-01-01,Liberal,48.014077525594594
2016-01-01,Conservative,26.567110199515188
2016-01-01,NDP,15.14938725858275
2016-01-01,Green,5.089199250364968
2016-01-01,People's,NaN
2016-01-02,Liberal,48.01613184122284
2016-01-02,Conservative,26.56558832784154
2016-01-02,NDP,15.148829593712534
2016-01-02,Green,5.088443842303268
2016-01-02,People's,NaN
2016-01-03,Liberal,48.01808501939537
2016-01-03,Conservative,26.564150092814103
2016-01-03,NDP,15.148295294010463
2016-01-03,Green,5.087724521842026
2016-01-03,People's,NaN
2016-01-04,Liberal,48.01994487064603
2016-01-04,Conservative,26.56278840621163
2016-01-04,NDP,15.147782884943442
2016-01-04,Green,5.0870386516677035
2016-01-04,People's,NaN
2016-01-05,Liberal,48.02171838272519
2016-01-05,Conservative,26.561496985469407
2016-01-05,NDP,15.14729101331742
2016-01-05,Green,5.0863838516195585
2016-01-05,People's,NaN
2016-01-06,Liberal,48.02341183004969
2016-01-06,Conservative,26.560270239735658
2016-01-06,NDP,15.14681843538578
2016-01-06,Green,5.085757967642795
2016-01-06,People's,NaN
2016-01-07,Liberal,47.50301424557485
2016-01-07,Conservative,26.865678244066682
2016-01-07,NDP,15.258868536548698
2016-01-07,Green,5.187135872799235
2016-01-07,People's,NaN
2016-01-08,Liberal,47.50355929818719
2016-01-08,Conservative,26.86514145746521
2016-01-08,NDP,15.25864006176754
2016-01-08,Green,5.1867382947626615
2016-01-08,People's,NaN
2016-01-09,Liberal,47.50407730592786
2016-01-09,Conservative,26.864634672167142
2016-01-09,NDP,15.258419727037781
2016-01-09,Green,5.186357658345194
2016-01-09,People's,NaN
2016-01-10,Liberal,45.606006055629315
2016-01-10,Conservative,27.911836136150708
2016-01-10,NDP,16.336491965389943
2016-01-10,Green,4.977817522055015
2016-01-10,People's,NaN
2016-01-11,Liberal,46.23297466947037
2016-01-11,Conservative,27.56575540342339
2016-01-11,NDP,15.980438921364415
2016-01-11,Green,5.0463534922904
2016-01-11,People's,NaN
2016-01-12,Liberal,46.92334631571467
2016-01-12,Conservative,26.33225090996415
2016-01-12,NDP,16.06858689523496
2016-01-12,Green,5.692271629040959
2016-01-12,People's,NaN
2016-01-13,Liberal,45.80430873272165
2016-01-13,Conservative,27.77659305148508
2016-01-13,NDP,16.321140250643573
2016-01-13,Green,5.40982489277812
2016-01-13,People's,NaN
2016-01-14,Liberal,46.29862738729156
2016-01-14,Conservative,27.26231347600641
2016-01-14,NDP,16.130846328779338
2016-01-14,Green,5.4087251593381485
2016-01-14,People's,NaN
2016-01-15,Liberal,46.32934250209357
2016-01-15,Conservative,27.24574075616642
2016-01-15,NDP,16.110802449906835
2016-01-15,Green,5.400393967425682
2016-01-15,People's,NaN
2016-01-16,Liberal,46.34877763725501
2016-01-16,Conservative,27.237463288117137
2016-01-16,NDP,16.097096392260706
2016-01-16,Green,5.394663408749349
2016-01-16,People's,NaN
2016-01-17,Liberal,46.403018050051195
2016-01-17,Conservative,27.01133420654379
2016-01-17,NDP,16.22329377670872
2016-01-17,Green,5.441999280746555
2016-01-17,People's,NaN
2016-01-18,Liberal,46.416154916818186
2016-01-18,Conservative,27.002798570148776
2016-01-18,NDP,16.21676904572521
2016-01-18,Green,5.439432489485177
2016-01-18,People's,NaN
2016-01-19,Liberal,46.4273261078076
2016-01-19,Conservative,26.995609824859912
2016-01-19,NDP,16.211230630426844
2016-01-19,Green,5.437347825917806
2016-01-19,People's,NaN
2016-01-20,Liberal,46.437059258244254
2016-01-20,Conservative,26.989373931541948
2016-01-20,NDP,16.20642061940999
2016-01-20,Green,5.43560423907809
2016-01-20,People's,NaN
2016-01-21,Liberal,46.44568383909742
2016-01-21,Conservative,26.983856870695696
2016-01-21,NDP,16.202174350609965
2016-01-21,Green,5.434113154973059
2016-01-21,People's,NaN
2016-01-22,Liberal,46.45342247591835
2016-01-22,Conservative,26.978906238096023
2016-01-22,NDP,16.198379068155056
2016-01-22,Green,5.432815709331652
2016-01-22,People's,NaN
2016-01-23,Liberal,45.961239460233706
2016-01-23,Conservative,27.52916859539346
2016-01-23,NDP,16.283114634655938
2016-01-23,Green,5.545073474604571
2016-01-23,People's,NaN
2016-01-24,Liberal,45.963868652297926
2016-01-24,Conservative,27.529895439003337
2016-01-24,NDP,16.280242561200165
2016-01-24,Green,5.545001423485327
2016-01-24,People's,NaN
2016-01-25,Liberal,45.966284179501386
2016-01-25,Conservative,27.530567345967917
2016-01-25,NDP,16.27760799779033
2016-01-25,Green,5.544959880702055
2016-01-25,People's,NaN
2016-01-26,Liberal,45.96851593097739
2016-01-26,Conservative,27.53118974607042
2016-01-26,NDP,16.275178079421046
2016-01-26,Green,5.544941271951593
2016-01-26,People's,NaN
2016-01-27,Liberal,45.97058772041113
2016-01-27,Conservative,27.531767685440588
2016-01-27,NDP,16.272926369249983
2016-01-27,Green,5.544940065334229
2016-01-27,People's,NaN
2016-01-28,Liberal,45.97251889635564
2016-01-28,Conservative,27.532305707696278
2016-01-28,NDP,16.270831250628806
2016-01-28,Green,5.544952152612163
2016-01-28,People's,NaN
2016-01-29,Liberal,45.974325435430956
2016-01-29,Conservative,27.532807843083926
2016-01-29,NDP,16.268874801603225
2016-01-29,Green,5.544974438849939
2016-01-29,People's,NaN
2016-01-30,Liberal,45.97602070979724
2016-01-30,Conservative,27.533277642284677
2016-01-30,NDP,16.26704198549288
2016-01-30,Green,5.545004563593092
2016-01-30,People's,NaN
2016-01-31,Liberal,45.97761604138187
2016-01-31,Conservative,27.53371822597544
2016-01-31,NDP,16.265320055201073
2016-01-31,Green,5.54504070735139
2016-01-31,People's,NaN
2016-02-01,Liberal,47.24863270287584
2016-02-01,Conservative,27.0951635130262
2016-02-01,NDP,16.26715698299062
2016-02-01,Green,5.234357827182701
2016-02-01,People's,NaN
2016-02-02,Liberal,46.716512241856634
2016-02-02,Conservative,27.279748149752116
2016-02-02,NDP,16.264681704048876
2016-02-02,Green,5.364861000892365
2016-02-02,People's,NaN
2016-02-03,Liberal,46.61351142693056
2016-02-03,Conservative,27.280150131406103
2016-02-03,NDP,16.395992073917544
2016-02-03,Green,5.28882936252437
2016-02-03,People's,NaN
2016-02-04,Liberal,46.579082744296365
2016-02-04,Conservative,27.29176274393529
2016-02-04,NDP,16.39833258943172
2016-02-04,Green,5.294789448803829
2016-02-04,People's,NaN
2016-02-05,Liberal,46.554982844956136
2016-02-05,Conservative,27.300020685247834
2016-02-05,NDP,16.3998576282137
2016-02-05,Green,5.2988884703935915
2016-02-05,People's,NaN
2016-02-06,Liberal,46.53666564847783
2016-02-06,Conservative,27.306392556098913
2016-02-06,NDP,16.400933052031263
2016-02-06,Green,5.301951101930725
2016-02-06,People's,NaN
2016-02-07,Liberal,46.54168304796716
2016-02-07,Conservative,27.218736328470797
2016-02-07,NDP,16.47994377398432
2016-02-07,Green,5.330648224267125
2016-02-07,People's,NaN
2016-02-08,Liberal,46.52932026833097
2016-02-08,Conservative,27.222129296075142
2016-02-08,NDP,16.48151311460098
2016-02-08,Green,5.333002802098698
2016-02-08,People's,NaN
2016-02-09,Liberal,46.518878112603204
2016-02-09,Conservative,27.224997655435377
2016-02-09,NDP,16.482838646956353
2016-02-09,Green,5.334981326754714
2016-02-09,People's,NaN
2016-02-10,Liberal,46.509898258025316
2016-02-10,Conservative,27.22746640949604
2016-02-10,NDP,16.483978560357343
2016-02-10,Green,5.336674499726021
2016-02-10,People's,NaN
2016-02-11,Liberal,46.50206568043198
2016-02-11,Conservative,27.229621492903327
2016-02-11,NDP,16.484972848654774
2016-02-11,Green,5.338144554024765
2016-02-11,People's,NaN
2016-02-12,Liberal,46.49515476172687
2016-02-12,Conservative,27.231524464086093
2016-02-12,NDP,16.485850153723113
2016-02-12,Green,5.339435974869455
2016-02-12,People's,NaN
2016-02-13,Liberal,46.48899856450648
2016-02-13,Conservative,27.233220881468498
2016-02-13,NDP,16.486631666995294
2016-02-13,Green,5.340581609957133
2016-02-13,People's,NaN
2016-02-14,Liberal,46.48347025531986
2016-02-14,Conservative,27.234745367772803
2016-02-14,NDP,16.487333488288858
2016-02-14,Green,5.3416063622546615
2016-02-14,People's,NaN
2016-02-15,Liberal,46.47847133017102
2016-02-15,Conservative,27.23612481995929
2016-02-15,NDP,16.487968120855555
